NAME,UPCOMING,PURCHASE
"Переходник Orico CAF31-03-BK-BP (USB-C to USB-A 3.1 Gen2, up to 60W, up to 10 Gbps, 0.3m)",20,2.22
"Зарядное устройство Orico DUK-5P-EU-WH-BP (PC + ABS, 5 Port, Total 40W, Smart Detect)",20,9.71
"Зарядное устройство Orico DUK-10P-V1-EU-WH-BP (PC + ABS, 10 Port, Total 120W, Cooling Fan, Smart Detect, 1.2m Power Cable)",5,23.57
"Кабель Orico CDX-60CC-BK-BP (USB-C to USB-C, up to 60W, up to 480Mbps, 1.0m, Black)",214,1.05
"Кабель Orico CDX-100CC-BK-BP (USB-C to USB-C, up to 100W, up to 480Mbps, 1.0m, Black)",50,1.71
Док-станция Orico M49P-EU-SV-BP MiniLink 9-in-1 (USB-C to M.2 SSD; 2xUSB-A 3.2; 2xUSB-A 2.0; Audio Ports; Card Reader),1,36
Док-станция Orico VS10-SV-EP MiniDock 10-in-1 (USB-C to 1xUSB-C; 1xUSB-A 3.2; 2xUSB-A 3.0; 1xHDMI; 1xRJ45; Card Reader),1,36.14
"Накопитель SSD внешний 256GB Orico K5PLUS-256G-GY-BP (USB Type-C, Silver)",1,21.43
"Аккумулятор для ИБП Lightwave 12V, 7.5AH",400,6.25
"Наушники с микрофоном Logitech H110 (3.5mm, Silver)",550,5.6
"Аккумулятор для ИБП Lightwave 12V, 9AH",24,8.7
Кабель Lightwave LW CAT6 FTP 305m,40,27.3
Кабель Lightwave LW CAT6 UTP 305m,5,21.5
"Точка доступа/Router TP-Link M7000 Mobile AC750 (2150 mAh, 4G LTE, Micro SIM)",2,31.5
"Точка доступа/Router TP-Link Archer Air R5 (AX3000, Wi-Fi 6, Gigabit LAN)",3,79.5
"Точка доступа/Router TP-Link Archer AX23 (AX1800, 10/100/1000, OneMesh)",10,39
"Точка доступа/Router TP-Link Archer AX53 (AX3000, 10/100/1000, OneMesh)",3,49.7
"Точка доступа/Router TP-Link Archer AX55 (AX3000, 10/100/1000)",5,71.5
"Точка доступа/Router TP-Link Archer AX72 (AX5400, 10/100/1000)",3,84.5
Точка доступа/Router TP-Link Archer C6 (AC1200),10,24.8
"Точка доступа/Router TP-Link Deco M4 (Mesh, 2xPack, AC1200, 10/100/1000)",2,75.2
Точка доступа/Router TP-Link TL-WR840N (802.11n),50,11.5
Сетевая карта TP-Link TL-WN725N (USB),50,4.65
"Сетевая карта TP-Link Archer T2U Plus (AC600, USB)",15,13.2
"Сетевая карта TP-Link Archer TX1U Nano (AX300, Wi-Fi 6, USB)",30,5.3
"Сетевая карта TP-Link UE300C (10/100/1000, USB Type-C)",10,13.3
"Сетевая карта TP-Link Archer TXE70UH (AXE5400, Wi-Fi 6e, USB)",30,31.5
"Сетевая карта TP-Link Archer T2U (AC600, USB)",20,11
"Сетевая карта TP-Link Archer T2U NANO (AC600, Nano, USB)",20,9
"Сетевая карта TP-Link Archer T3U Plus (AC1300, Dual Band, USB)",20,16
"Сетевая карта TP-Link Archer T4U (AC1300, Dual, External antennas, USB)",10,18.8
"Сетевая карта TP-Link Archer T4U Plus (AC1300, Dual, External antennas, USB)",15,23.2
"Сетевая карта TP-Link TG-3468 (10/100/1000Mbps, PCI-E)",50,7.3
Сетевая карта TP-Link TL-WN823N (USB),20,6.6
"Точка доступа/Router TP-Link RE305 (AC1200, Repeater, Powerline, up to 1200Mbps)",5,24.7
"Точка доступа/Router TP-Link TL-WA850RE (N300, Repeater, Powerline)",5,11.9
"Точка доступа/Router TP-Link RE315 (AC1200, Repeater, Mesh)",5,23.9
"Точка доступа/Router TP-Link RE605X (AX1800, Wi-Fi 6, Repeater)",3,45.5
"Точка доступа/Router TP-Link Archer Air E5 (AX3000, Wi-Fi 6, Repeater)",10,66.8
Коммуникатор 16port 10/100/1000 TP-Link TL-SG1016D,20,43.5
Коммуникатор 24port 10/100/1000 TP-Link TL-SG1024D,10,59.5
"Коммуникатор 16port 10/100/1000 TP-Link SG2218P (16G, 2xSFP)",3,136.4
Коммуникатор 24port 10/100 TP-Link TL-SF1024D,5,35.7
Коммуникатор 24port 10/100/1000 TP-Link Omada SG3428MP M RM POE+,3,244.4
"Коммуникатор 5port 10/100 TP-Link TL-SF1005P (4xPOE, 67W, Metal)",5,22.3
Коммуникатор 16port 10/100 TP-Link TL-SF1016D,65,15.5
Коммуникатор 5port 10/100 TP-Link LS1005,50,4.8
Коммуникатор 5port 10/100/1000 TP-Link LS1005G,100,9.1
Коммуникатор 5port 10/100/1000 TP-Link TL-SG105,30,13
Коммуникатор 8port 10/100 TP-Link TL-LS1008,30,5.8
Коммуникатор 8port 10/100/1000 TP-Link LS1008G,200,13.3
Коммуникатор 8port 10/100/1000 TP-Link TL-SG1008D,30,14.5
Коммуникатор 8port 10/100/1000 TP-Link TL-SG1008P,5,39.4
Коммуникатор 5port 10/100/1000 TP-Link LS105G,20,10.8
"Коммуникатор USB-HUB TP-Link UE330 (USB 3.0 Type-A to 3xUSB 3.0, 1xGigabit LAN, White)",20,15.9
"Коммуникатор USB-HUB TP-Link UH400 (4port, USB 3.0, Black)",10,9.2
"Коммуникатор USB-HUB TP-Link UH720 (USB 3.0 Type-A to 7xUSB 3.0, 2xUSB 2.4A, Black)",10,26.8
"Коммуникатор USB-HUB TP-Link UH700 (USB 3.0 Type-A to 7xUSB 3.0, Black)",10,22
"Коммуникатор USB-HUB TP-Link UE330C (USB Type-C to 3xUSB 3.0, 1xGigabit LAN, White)",8,17.5
"Адаптер Bluetooth TP-Link UB500 (USB, BT 5.0+EDR, 20м)",20,6.2
"Принтер струйный МФУ Canon Pixma TS3640, A4",200,30
"Принтер струйный МФУ Canon PIXMA MG2541S, A4",400,29
"Принтер струйный МФУ HP DeskJet 2320 (7WN42B, A4, White)",400,29
"Принтер струйный МФУ Epson L3250 EcoTank, A4",100,114
"Принтер струйный МФУ Canon Pixma TS3340, A4",800,30
"Процессор Intel Core i5 14600K (2.6GHz, 24Mb, GPU, S1700, TRAY)",16,184.9695
"Процессор AMD Ryzen 5 5600 (S-AM4, TRAY)",4,75.2715
"Процессор AMD Ryzen 5 8400F (S-AM5, TRAY)",5,83.3238
"Процессор AMD Ryzen 7 5700G (S-AM4, TRAY)",3,116.5833
"Процессор AMD Ryzen 7 7700X (S-AM5, TRAY)",3,240.2853
"Процессор AMD Ryzen 9 5950X (S-AM4, BOX)",3,229.7823
"Процессор AMD Ryzen 9 7900 (S-AM5, BOX)",2,271.911
"Процессор AMD Ryzen 9 7900X (S-AM5, TRAY)",3,298.6353
"Процессор Intel Core i7 14700KF (2.5GHz, 33Mb, 8GT/s, S1700, TRAY)",2,293.9673
"Процессор Intel Core i9 14900K (3.2GHz, 36Mb, 8GT/s, GPU, S1700, TRAY)",2,412.97796
"Процессор Intel Core i9 14900KF (3.2GHz, 36Mb, 8GT/s, S1700, TRAY)",2,381.4923
"Процессор AMD Ryzen 5 9600X (S-AM5, TRAY)",2,182.781375
"Накопитель SSD M.2 500GB Kingston SNV3S/500G NV3 (M.2 2280 PCI-E, Reading 6000 MB/s, Writing 3000 Mb/s)",20,33.1428
"Модуль памяти DIMM 32GB DDR5 Crucial CT2K16G56C46U5 (2x16GB, 5600MHz)",18,75.84333
"Веб-камера Logitech Brio 105 Full HD (с микрофоном, 960-001592)",10,23.5734
"Карта памяти Micro SD Samsung EVO Plus 128GB MB-MC128SA/EU (UHS-I U3, Class 10)",5,10.49133
"Кулер система жидкостного охлаждения Arctic Liquid Freezer III Pro 240 Black (Universal socket INTEL, PWM)",3,63.6015
"Кулер система жидкостного охлаждения Arctic Liquid Freezer III Pro 360 A-RGB Black (Universal socket INTEL, PWM)",10,84.024
"Кулер система жидкостного охлаждения Arctic Liquid Freezer III Pro 360 A-RGB White (Universal socket INTEL, PWM)",3,90.4425
"Кулер система жидкостного охлаждения Arctic Liquid Freezer III Pro 420 A-RGB Black (Universal socket INTEL, PWM)",5,89.5089
"Мат. плата Gigabyte B650 Eagle AX (S-AM5, B650, HDMI/DP, 4xPCI-E, 4DDR5, 3xM.2, SATAIII RAID, GbLAN)",5,130.1205
"Мат. плата Gigabyte X870 GAMING WF6 (S-AM5, X870, HDMI/2xUSB4 DP, 1xPCI-E 5.0 x16, 2xPCI-E 3.0 x1, 4DDR5, 3xM.2, 2.5GbE LAN, Wi-Fi 6)",5,193.6053
Модуль памяти DIMM 16GB DDR5 CRUCIAL CT16G48C40U5 (4800MHz),5,37.33233
Модуль памяти DIMM 16GB DDR5 Crucial CT16G56C46U5 (5600MHz),7,37.75245
Модуль памяти DIMM 32GB DDR5 Crucial CT32G48C40U5 (4800MHz),3,71.8872
Модуль памяти DIMM 32GB DDR5 Crucial CT32G56C46U5 (5600MHz),4,74.2212
Модуль памяти DIMM 32GB DDR5 Kingston Fury Beast KF560C30BBEK2-32 (6000MHz),2,112.032
"Модуль памяти DIMM 64GB DDR5 Kingston FURY Beast Black KF560C36BBEK2-64 (2x32GB, 6000MHz)",2,195.4725
"Модуль памяти DIMM 8GB DDR4 CRUCIAL CT8G4DFRA32A (3200MHz, 1.2v)",5,25.7907
Модуль памяти SODIMM 32GB DDR5 Crucial CT32G56C46S5 (5600MHz),6,74.1045
Модуль памяти SODIMM 16GB DDR5 Crucial CT16G56C46S5 (5600MHz),10,37.8108
"Накопитель SSD 240GB CRUCIAL CT240BX500SSD1 (2.5"", SATA3, TLC 3D, 540/500Mbps)",10,19.1388
"Накопитель SSD 2TB SAMSUNG EVO 870 MZ-77E2T0B/EU (2.5"", SATA3, TLC 3D, 560/530Mbps)",5,146.9253
"Накопитель SSD M.2 1TB CRUCIAL CT1000P3PSSD8 (M.2 2280 PCI-E, Reading 5000 MB/s, Writing 3600 Mb/s)",5,56.5995
"Накопитель SSD M.2 1TB SAMSUNG MZ-V9P1T0BW 990 PRO (M.2 2280, PCI-E x 4, Reading 7450 MB/s, Writing 6900 Mb/s)",3,95.5773
"Накопитель SSD M.2 2TB SAMSUNG MZ-V9P2T0BW 990 PRO (M.2 2280, PCI-E x 4, Reading 7450 MB/s, Writing 6900 Mb/s)",3,146.9253
"Накопитель SSD M.2 2TB WD Black SN770 (M.2 2280 PCI-E, Reading 5150 MB/s, Writing 4850 Mb/s)",7,109.4646
"Накопитель SSD внешний 1TB SAMSUNG Portable T7 MU-PC1T0T/WW (2.5"", 1050/1000Mbps, USB 3.2, Grey)",2,90.9093
"Сетевая карта TP-Link TG-3468 (10/100/1000Mbps, PCI-E)",20,9.2193
"Флешка USB 64GB Kingston DataTraveler Exodia (USB 3.2, Black)",10,3.90945
"Наушники с микрофоном беспроводные Jabra Evolve2 85 MS Stereo (Bluetooth, Black)",3,316.8405
"Флешка USB 128GB Samsung Bar Plus (USB 3.1, Silver)",5,22.72149
"Флешка USB 128GB Samsung FIT Plus (USB 3.1, Black)",5,22.72149
"Планшет Samsung Galaxy Tab S6 Lite SM-P619NZAADBT (10.4"", 2000x1200, Snapdragon 720G, 4GB RAM, 64GB Flash, Wi-Fi/LTE, Camera 8MP/5MP, Android, Grey)",20,250.905
"Аккумулятор для ИБП Lightwave 12V, 7.5AH",300,6.25
"Аккумулятор для ИБП Lightwave 12V, 9AH",200,8.7
"Экран для проектора Lightwave LW EPS-180E (180x180cm, 1:1, wall, motorized)",5,48.98
"Экран для проектора Lightwave LW EPS-200E (200x200cm, 1:1, wall, motorized)",5,65.31
"Экран для проектора Lightwave LW EPS-240E (240x240cm, 1:1, wall, motorized)",5,80.27
"Экран для проектора Lightwave LW EPS-300x200E (300x200cm, 3:2, wall, motorized)",5,95.24
"Экран для проектора Lightwave LW TPS-180T (180x180cm, 1:1, tripod)",5,29.93
"Экран для проектора Lightwave LW TPS-200T (200x200cm, 1:1, tripod)",5,34.01
"Экран для проектора Lightwave LW TPS-240T (240x240cm, 1:1, tripod)",5,53.06
Карта памяти Micro SD Card PATRIOT 128GB PSF128GMDC10 LX Series UHS-I (Class 10),20,6
Карта памяти Micro SD Card PATRIOT 32GB PSF32GMDC10 LX Series UHS-I (Class 10),20,2.3
Модуль памяти DIMM 16GB DDR4 PATRIOT PSD416G32002 (3200MHz),10,37
"Модуль памяти DIMM 16GB DDR5 PATRIOT PSD516G480081 (PC21330, 4800MHz)",5,31
"Модуль памяти DIMM 4GB DDR3 PATRIOT PSD34G160081 (PC12800, 1600MHz)",25,5.5
"Модуль памяти DIMM 4GB DDR4 PATRIOT PSD44G266681 (PC21330, 2666MHz)",10,9.25
"Модуль памяти DIMM 8GB DDR3 PATRIOT PSD38G16002 (PC12800, 1600MHz)",25,8
Модуль памяти DIMM 8GB DDR4 PATRIOT PSD48G32002 (3200MHz),25,19
Модуль памяти SODIMM 16GB DDR4 PATRIOT PSD416G320081S (3200MHz),5,37.5
Модуль памяти SODIMM 16GB DDR5 PATRIOT PSD516G480081S (4800MHz),5,32
"Модуль памяти SODIMM 8GB DDR3 PATRIOT PSD38G1600L2S SL (1600MHz, 1.35V)",5,8
Модуль памяти SODIMM 8GB DDR4 PATRIOT PSD48G320081S (3200MHz),10,19.5
"Накопитель SSD 120GB PATRIOT PBE120GS25SSDR (2.5"", SATA3, TLC 3D, 450/320Mbps)",150,8.5
"Накопитель SSD 256GB PATRIOT P210S256G25 P210 (2.5"", SATA3, TLC 3D, 500/400Mbps)",20,13.75
"Накопитель SSD 512GB PATRIOT P220S512G25 P220 (2.5"", SATA3, TLC 3D, 550/500Mbps)",60,23
"Накопитель SSD M.2 256GB Patriot P300P256GM28 P300 (M.2 2280 PCI-E, Reading 1700 MB/s, Writing 1100 Mb/s)",30,15.75
"Накопитель SSD M.2 512GB Patriot P300P512GM28 P300 (M.2 2280 PCI-E, Reading 1700 MB/s, Writing 1200 Mb/s)",10,24.5
"Флешка USB 128GB Patriot PEF128GRLB32U SS RAGE (USB 3.2, Black)",25,6.25
"Флешка USB 32GB Patriot PSF32GX3B3U XPORTER 3 Slider (USB 3.2, Black)",25,2.75
"Флешка USB 64GB Patriot PEF64GRLB32U SS RAGE LITE (USB 3.2, Black)",90,4
"Флешка USB 64GB Patriot PSF64GX3B3U XPORTER 3 Slider (USB 3.2, Black)",40,3.75
"Флешка USB 64GB Patriot PSF64GXRB3U Xporter Core (USB 3.2, Black)",40,3.75
"Видеокарта 16GB Zotac GeForce RTX5070 Ti SOLID SFF (28000MHz, GDDR7, 192bit, HDMI/3xDP)",10,740
"Видеокарта 16GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",10,405
"Видеокарта 8GB Zotac GeForce RTX5060 Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)",30,274
"Корпус MidiTower Accord Q03B w/o black (MidiATX, 2xUSB3.0)",2,20.74137062
Блок питания 700W Accord ACC-W700P 80+ White (ATX),3,35.44910557
"Кронштейн для мониторов Arm Media LCD-T11 (15""-32"", up to 12kg, Black)",3,20.72247417
"Кронштейн для мониторов Arm Media LCD-T04 (15""-28"", up to 14kg, Black)",5,23.14184933
"Кронштейн для мониторов Arm Media LCD-T10 (15""-34"", up to 9kg, Black)",3,18.93424036
Кронштейн для проектора Cactus CS-VM-PR04-AL (Silver),3,10.85563114
Кронштейн для проектора Cactus CS-VM-PRE02-WT (White),3,13.38019652
"Кронштейн для проектора Buro PR04-100W (White, 60-100cm, Up to 20kg)",5,9.887881078
"Кронштейн для проектора Buro PR04-140W (White, 80-140cm, Up to 20kg)",3,12.93839758
"Клавиатура SVEN Standard 301 (USB, Black)",150,3.11
"Клавиатура+Мышь+Коврик SVEN GS-9200 Gaming (2400DPI, Black, USB)",5,10.82
"Колонки SVEN 130 (2.0, 2x3W, USB, Black)",30,4.42
"Колонки SVEN SPS-606 (2.0, 2x3W, USB, Black)",5,10.89
"Мышь SVEN RX-113 (5+1 keys, 800-2000DPI, Soft Touch, 1.5m, Black)",30,2.43
"Мышь беспроводная SVEN RX-210W (3+1 keys, 1400DPI, Black)",5,2.63
"Процессор Intel Core i5 12400 (2.5GHz, 12Mb, 8GT/s, GPU, S1700, TRAY)",20,118.755
"Блок питания 1200W Thermaltake Toughpower GT 80+ Gold (ATX3.1, Gen.5)",2,146.835
Блок питания 750W Thermaltake Toughpower GT Gen.5 80+ Gold (ATX3.1),5,79.326
"Жесткий диск 10TB SATAIII SEAGATE ST10000VN000 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",3,218.79
"Жесткий диск 12TB SATAIII SEAGATE ST12000VN0008 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",3,224.64
"Кулер система жидкостного охлаждения Thermaltake TH360 ARGB Sync  (Universal socket INTEL, PWM)",3,97.695
"Кулер система жидкостного охлаждения Thermaltake TH360 V2 ARGB Sync Snow Edition (Universal socket INTEL, PWM, White)",2,99.216
"Мат. плата Gigabyte B550 GAMING X V2 (S-AM4, B550, DVI, HDMI, 3xPCI-E, 4DDR4, 2xM.2, SATAIII RAID, PCI, SATA3, GbLAN)",5,89.505
"Мат. плата Gigabyte B650 Eagle AX (S-AM5, B650, HDMI/DP, 4xPCI-E, 4DDR5, 3xM.2, SATAIII RAID, GbLAN)",5,129.5775
"Монитор LED 27"" LG 27UP650K-W (4K IPS, 3840x2160, 1200:1, 5ms, HDR10, 2xHDMI/DP, White)",5,206.505
