NAME,QTY,RETAIL,DEALER,CURRENT_COST
"Компьютер CS I10100-4120 (i3 10105, 4GB RAM, 120GB SSD, 500W)",1,240.5,230.5,1
"Компьютер LED Design Advanced R5-162401-3050 (R5, 16GB RAM, 240GB SSD, 1TB HDD, RTX3050)",1,0,0,1
"Компьютер LED Design Basic I5-82561 (I5, 8GB RAM, 256GB SSD, 1TB HDD)",1,464.56,0,1
"Компьютер LED Design Expert R7-162561-3050 (R7, 16GB RAM, 256GB M.2 SSD, 1TB HDD, RTX3050)",1,0,0,1
"Компьютер LED Design Starter I5-162401 (I5, 16GB RAM, 240GB SSD, 1TB HDD)",1,0,0,1
"Компьютер LED Develop Advanced I5-82401-D (I5, 8GB RAM, 240GB SSD, 1TB HDD, DVD-RW)",1,0,0,1
"Компьютер LED Develop Basic I3-8240 (I3, 8GB RAM, 240GB SSD)",1,0,0,1
"Компьютер LED Develop Expert I5-162561-D (I5, 16GB RAM, 256GB M.2 SSD, 1TB HDD, DVD-RW)",1,0,0,1
"Компьютер LED Develop Starter I3-82401-D (I3, 8GB RAM, 240GB SSD, 1TB HDD, DVD-RW)",1,0,0,1
"Компьютер LED GFirst Advanced R5-162401 (Ryzen 5, 16GB RAM, 480GB SSD, 1TB HDD, Vega)",1,0,0,1
"Компьютер LED GFirst Basic R3-82401 (Ryzen 3, 8GB RAM, 240GB SSD, 1TB HDD)",1,0,0,1
"Компьютер LED GFirst Cyber I7-162561-1650 (I7, 16GB RAM, 256GB M.2 SSD, 1TB HDD, RTX3050)",1,0,0,1
"Компьютер LED GFirst Expert R7-162561-1650 (Ryzen 7, 16GB RAM, 256GB M.2 SSD, 1TB HDD, RTX3050)",1,0,0,1
"Компьютер LED GFirst Genesis R7-165121-3050 (Ryzen 7, 16GB RAM, 512GB M.2 SSD, 1TB HDD, RTX3050)",1,0,0,1
"Компьютер LED GFirst Infinity R7-325122-3050 (Ryzen 7, 32GB RAM, 512GB M.2 SSD, 2TB HDD, RTX3050)",1,0,0,1
"Компьютер LED GFirst Monster I9-6410002-4070 (I9, 64GB RAM, 1TB M.2 SSD, 2TB HDD, RTX5070)",1,1922.83,0,1
"Компьютер LED GFirst Predator I7-325121-4060 (I7, 32GB RAM, 512GB M.2 SSD, 1TB HDD, RTX4060)",1,0,0,1
"Компьютер LED GFirst Starter R5-82401-GTX750 (Ryzen 5, 8GB RAM, 240GB SSD, 1TB HDD, GTX750)",1,0,0,1
"Компьютер LED GFirst Terminator I7-3210002-3060 (I7, 32GB RAM, 1TB M.2 SSD, 1TB HDD, RTX3060)",1,0,0,1
"Компьютер LED GFirst Touareg R5-325121-4070 (Ryzen 5, 32GB RAM, 512GB M.2 SSD, 1TB HDD, RTX5070)",1,0,0,1
"Компьютер LED GFirst Wave I7-162561-1650 (I7, 16GB RAM, 256GB M.2 SSD, 1TB HDD, RTX3050)",1,0,0,1
"Компьютер LED Home Advanced I5-82401-D (I5, 8GB RAM, 240GB SSD, 1TB HDD, DVD-RW)",1,0,0,1
"Компьютер LED Home Basic P-4120-D (Pentium DualCore, 4GB RAM, 120GB SSD, DVD-RW)",1,0,0,1
"Компьютер LED Home Entry C-4120-D (Pentium Gold, 4GB RAM, 120GB SSD, DVD-RW)",1,0,0,1
"Компьютер LED Home Expert I7-82401-D (I7, 8GB RAM, 240GB SSD, 1TB HDD, DVD-RW)",1,0,0,1
"Компьютер LED Home Starter I3-4240-D (I3, 4GB RAM, 240GB SSD, DVD-RW)",1,0,0,1
"Компьютер LED Home Wave I3-108240-D (I3 10th Gen, 8GB RAM, 240GB SSD, DVD-RW)",1,0,0,1
"Компьютер LED Office Advanced I5-8240 (I5, 8GB RAM, 240GB SSD)",1,0,0,1
"Компьютер LED Office Basic C-8120 (Pentium Gold, 8GB RAM, 120GB SSD)",1,0,0,1
"Компьютер LED Office Entry C-4120 (Pentium Gold, 4GB RAM, 120GB SSD)",1,161.82,0,1
"Компьютер LED Office Expert I5-82401-D (I5, 8GB RAM, 240GB SSD, DVD-RW)",1,0,0,1
"Компьютер LED Office Starter I3-4120 (I3, 4GB RAM, 120GB SSD)",1,0,0,1
"Компьютер LED Office Wave I3-8120 (I3, 8GB RAM, 120GB SSD, DVD-RW)",1,0,0,1
"Коннектор LANBERG PLS-5000 FTP, CAT5E, RJ-45 PLUG 8P8C (100PCS)",18,13.93,10.3,9.15
"Коннектор LANBERG PLU-5000EZ UTP, CAT5E, RJ-45 PLUG 8P8C (100PCS)",1,11.09,8.5,6.16
"Коннектор LANBERG PLU-5020 UTP, CAT5E, RJ-45 PLUG 8P8C (20PCS)",1,2.69,2,0.97
"Коннектор LANBERG PLU-6020 UTP, CAT6, RJ-45 PLUG 8P8C (20PCS)",5,2.92,2.3,1.45
Конференц-камера Logitech MeetUp Video Conference Camera (960-001102),2,716.26,660,511.61
"Корпус Desktop CrownMicro CM-1907-3 black (ITX, 300W)",1,30.15,25,43.08
"Корпус FullTower Deepcool Morpheus w/o black (FullATX, E-ATX)",1,233.81,209,187.05
Корпус MidiTower Aerocool ATOMIC Lite-G-BK-V2 WINDOWS w/o black (MidiATX),2,59.32,55,49.82
Корпус MidiTower Aerocool ATOMIC-G-BK-V1 WINDOWS w/o black (MidiATX),1,77.93,70.5,61.38
Корпус MidiTower Cooler Master Elite V3 (mATX),2,76.16,60,76.16
Корпус MidiTower Cooler Master MasterBox NR600 w/o black (MidiATX),1,106.91,95.8,89.09
Корпус MidiTower Coolermaster CM Force 500 w/o black (MidiATX),5,77.79,70.5,62.23
Корпус MidiTower Coolermaster MasterBox Q300L w/o black (MidiATX),2,78.58,70,62.87
Корпус MidiTower Coolermaster MasterBox TD300 Mesh w/o black (MidiATX),7,115.21,98.5,88.63
"Корпус MidiTower CoolMate Gaming SX-8025 Black (600W, 1xUSB 3.0, 3xUSB 2.0)",114,24.36,20.8,15.71
"Корпус MidiTower CoolMate Gaming SX-8027 Black (600W, 1xUSB 3.0, 3xUSB 2.0)",120,24.71,20.8,15.94
"Корпус MidiTower CoolMate Office SX-C3132 Black (600W, 1xUSB 3.0, 3xUSB 2.0)",400,27.32,23.3,17.63
"Корпус MidiTower CoolMate Office SX-C3159 Black (600W, 1xUSB 3.0, 2xUSB 2.0)",600,26.61,23,17.17
Корпус MidiTower Cougar AirFace Pro RGB w/o black (MidiATX),2,118.79,108.5,99.23
Корпус MidiTower Cougar AirFace RGB w/o black (MidiATX),3,85.53,77.5,71.45
Корпус MidiTower Cougar Archon 2 Mesh RGB w/o black (MidiATX),7,77.23,71,64.5
Корпус MidiTower Cougar FV150 RGB w/o black (MidiATX),1,111.63,98.7,89.31
Корпус MidiTower Cougar MX360 RGB w/o black (MidiATX),2,65.16,60,54.39
"Корпус MidiTower CrownMicro CMC-4103 black (mATX, 450W)",5,43.46,33,38.64
"Корпус MidiTower CrownMicro CMC-GS10B black (mATX, w/o)",1,76.44,67.5,56.62
Корпус MidiTower Deepcool CC560 Limited V2 (MidiATX),1,47.85,44,38.28
"Корпус MidiTower Deepcool Matrexx 50 MESH 4FS w/o black (MidiATX, E-ATX)",3,73.93,65.8,59.14
"Корпус MidiTower Deepcool Matrexx 50 w/o black (MidiATX, E-ATX)",4,55.6,50.5,44.48
"Корпус MidiTower Deepcool Matrexx 55 MESH w/o black (MidiATX, E-ATX)",3,60.24,52,46.34
Корпус MidiTower Deepcool WAVE V2 (MicroATX),1,31.04,27.7,24.41
Корпус MidiTower Formula S1302B w/o black (MidiATX),26,34.08,30,42.6
Корпус MidiTower Formula V-LINE 2052 w/o black (MidiATX),1,71.41,57,51.01
Корпус MidiTower Fractal Design Core 1000 w/o Black (MidiATX),6,77.19,68,57.18
"Корпус MidiTower Genesis NPC-1131 IRID 300 w/o Red (USB 3.0, Window, MidiATX)",1,78.62,70,65.52
Корпус MidiTower Genesis NPC-1517 IRID 505 V2 Window w/o Black (MidiATX),17,79.92,68.5,59.2
Корпус MidiTower Genesis NPC-1518 IRID 505 V2 ARGB Window w/o Black (MidiATX),18,110.12,98.5,84.71
Корпус MidiTower Genesis NPC-1558 IRID 503 V2 Window w/o Black (MiniATX),19,65.13,58,50.1
Корпус MidiTower Genesis NPC-1872 IRID 505 V2 ARGB Window w/o White (MidiATX),10,110.72,98,84.75
"Корпус MidiTower Hiper BH34-1 w/o black (MidiATX, ATX)",1,51.71,47.8,41.36
"Корпус MidiTower Hiper DCB w/o black (MidiATX, ATX)",4,68.04,61.3,54.43
Корпус MidiTower Thermal Master C708 Black (600W),11,32.25,29.5,25.8
Корпус MidiTower Thermal Master G173 Black (600W),5,32.25,29.5,25.8
Корпус MidiTower ThermalTake Versa H18 window w/o black (MidiATX),2,70.74,62,54.42
Корпус MidiTower ThermalTake Versa H330 TG w/o black (MidiATX),2,98.85,77,64.92
"Корпус MidiTower XYZ AIRONE 100 MESH Black (w/o PSU, Side TG, 6x Integrated A-RGB Fans, X-CS-AIRONE1M-B)",71,58.03,48,33.16
"Корпус MidiTower XYZ AIRONE 100 MESH White (w/o PSU, Side TG, 6x Integrated A-RGB Fans, X-CS-AIRONE1M-W)",11,57.32,48,32.75
"Корпус MidiTower XYZ AIRONE 300-X MESH (w/o PSU, Side TG, 6x Integrated A-RGB Fans, X-CS-AIRONE3XM-B)",51,54.37,46,35.08
"Корпус MidiTower XYZ TESSERACT X Black (w/o PSU, Front and Side TG, 7x Integrated A-RGB Fans w/ Controller, X-CS-TESSERACTX-B)",31,95.7,80,63.8
"Корпус MidiTower XYZ TITANIUM MESH Black (w/o PSU, Side TG, 4x Integrated A-RGB Fans, X-CS-TITANIUMMESH-B)",15,81.8,74,54.53
Корпус MidiTower Zalman S5 w/o black (MidiATX),1,97.03,86.3,74.64
Корпус MidiTower Zalman ZM-T3 w/o black (MidiATX),2,65.38,59,50.29
Корпус MidiTower Zalman ZM-T4 w/o black (MidiATX),3,66.8,60,51.38
Корпус MiniTower Cougar Uniface Mini RGB w/o black (MidiATX),3,70.7,63,56.56
"Корпус MiniTower CrownMicro CMC-245-103 black (ITX, 300W)",1,36.75,29.5,52.5
"Корпус MiniTower Deepcool Matrexx 30 (MiniATX, mATX)",5,42.06,39,33.65
Корпус MiniTower Deepcool Matrexx 30 SI (MiniATX),4,33.23,30,26.58
"Корпус Rack SuperMicro CSE-512F-350B1 black (Rack, 1U, 350W)",1,263.1,209,239.19
"Корпус RackTower Lanberg SC01-4504-10B w/o black (Rack, 450/10, 19"", 4U)",4,152.35,140,119.31
Кресло игровое Fury NFF-1710 AVENGER M+ Black/White,37,145.57,125,93.92
Кресло игровое Genesis NFG-0751 Nitro 770 Black/Red,13,257.86,195,184.18
Кресло игровое Genesis NFG-0752 Nitro 330 Black/Red,16,189.37,145,135.26
Кресло игровое Genesis NFG-0782 Nitro 330 Black/Blue,18,177,135,126.43
Кресло игровое Genesis NFG-1141 Nitro 330 Military LE,3,181.17,135,129.41
Кресло игровое Genesis NFG-1532 Nitro 560 Black/Military,5,234.12,180,167.23
Кресло игровое Genesis NFG-1576 TRIT 500 RGB Black,9,226.97,200,174.59
Кресло игровое Genesis NFG-1577 Trit 600 RGB Black,1,252.75,209,180.54
Кресло игровое Genesis NFG-1848 NITRO 650 Onyx Black,5,238.98,212,183.83
Кресло игровое Genesis NFG-1945 Astat 700 G2 Black,5,347.89,278,248.49
Кресло игровое Genesis NFG-1945 Astat 700 G2 Red,2,325.31,268,232.36
Кресло игровое Genesis NFG-2068 Nitro 550 G2 Black,4,216.47,183.5,165.35
Кресло игровое Genesis NFG-2096 NITRO 720 Black-Grey,5,250.99,223.5,193.07
Кресло игровое Genesis NFG-2112 Nitro 550 G2 Grey,5,216.47,186,165.35
"Кронштейн для мониторов Arm Media LCD-T01 (15""-32"", Black)",1,28.92,25,20.66
"Кронштейн для мониторов Arm Media LCD-T43 (15""-32"", Black)",1,69.34,46.3,34.25
"Кронштейн для мониторов Arm Media LCD-T52 (15""-32"", Black)",4,86.57,76,66.59
"Кронштейн для мониторов LogiLink BP0045 (13""-32"", Black)",9,49.17,40.7,31.73
"Кронштейн для проектора Buro PR07-W (White, Up to 12kg)",5,13.35,10.5,8.19
Кронштейн для проектора Holder PR-103-W (White),1,18.53,16,13.09
Кронштейн для проектора Holder PR-104-W (White),1,34.32,29,25.42
"Кронштейн для телевизора Arm Media LCD-01 (15''-32'', up to 15kg, Black)",3,5,4,1.85
Кулер Arctic Alpine 17 CO (S-1700),41,11.56,10.3,8.54
Кулер Arctic Alpine 23 CO (S-AM4/AM5),6,13.95,11.8,8.21
"Кулер Cooler Master Hyper 212 ARGB (Universal socket INTEL/AMD, 27Db, RGB)",3,51.39,47.8,41.11
"Кулер Cooler Master Hyper 212 Black Edition (Universal socket INTEL/AMD, 27Db, RGB)",2,67.2,62.7,53.76
"Кулер Crown CM-5 (Universal socket INTEL/AMD, Copper tubes, TDP up to 187w)",8,20.67,19,18.79
"Кулер Crown CM-80 (Universal socket INTEL/AMD, TDP up to 65w)",2,0,4,2.68
"Кулер Crown CM-80 v2 (Universal socket INTEL + S1700/AMD, TDP up to 65w)",137,6.2,4.7,3.52
"Кулер Crown CM-82 (Universal socket INTEL/AMD, TDP up to 80w)",1,6.69,6,5.06
"Кулер Deepcool AG500 (Universal socket INTEL/AMD, 240W)",4,49.59,45,39.67
"Кулер Deepcool ARCHER BIGPRO (Universal socket INTEL/AMD, 125W, ARCHER.BIGPRO)",1,16.27,15,12.52
Кулер Deepcool GAMMAXX 400 EX (Universal socket INTEL/AMD),1,40.29,36,32.23
"Кулер Deepcool GAMMAXX AS500 PLUS White (Universal socket INTEL/AMD, TDP up to 220w)",3,97.5,85.5,79.27
Кулер Deepcool GAMMAXX GTE V2 (Universal socket INTEL/AMD),5,36.63,32.8,29.3
"Кулер Deepcool ICE EDGE MINI FS V2.0 (Universal socket INTEL/AMD, 100W, ICEEDGEMINIFSV2.0 1700 NATIVE)",1,15.15,13,7.86
"Кулер Deepcool Theta 9 (Socket 1700, PWM, 4-pin, 40.1dB, TDP up to 65w)",1,8.72,8,6.71
"Кулер ID-Cooling DK-071 RAINBOW (Socket 1700, PWM, 4-pin, 14.2-25.6dB, TDP up to 125w)",3,11.53,10.5,8.87
"Кулер ID-Cooling DK-19 PWM (Socket 1700, PWM, 4-pin, 14-26dB, TDP up to 95w)",1,9.53,8,6.05
"Кулер ID-Cooling SE-206-XT (Universal socket INTEL/AMD, PWM, TDP up to 250w)",1,38.45,34.5,30.76
"Кулер ID-Cooling SE-207-XT ADVANCED (Universal socket INTEL/AMD, PWM, TDP up to 280w)",1,58.77,54.3,49.23
"Кулер ID-Cooling SE-207-XT ARGB (Universal socket INTEL/AMD, PWM, TDP up to 280w)",6,54.7,50.8,45.58
"Кулер ID-Cooling SE-224-XTS ARGB (Universal socket INTEL/AMD, PWM, TDP up to 220w)",18,30.62,24,18.85
"Кулер ID-Cooling SE-225-XT Black V2 (Universal socket INTEL/AMD, PWM, TDP up to 220w)",1,57.27,49.5,40.91
"Кулер ID-Cooling SE-226-XT ARGB (Universal socket INTEL/AMD, PWM, TDP up to 250w)",1,64.95,55,49.96
"Кулер ID-Cooling SE-226-XT ARGB White (Universal socket INTEL/AMD, PWM, TDP up to 250w)",2,68.55,59,52.73
"Кулер ID-Cooling SE-226-XT BLACK (Universal socket INTEL/AMD, PWM, TDP up to 250w)",12,45.37,38.7,34.01
"Кулер ID-Cooling SE-903-SD V3 (Universal socket INTEL/AMD, TDP up to 130w)",15,11.78,10.8,9.42
"Кулер ID-Cooling SE-903-XT (Universal socket INTEL/AMD, PWM, TDP up to 130w)",3,14.88,13.3,11.91
"Кулер Thermaltake UX200 (Universal socket INTEL/AMD, TDP up to 130w)",3,47.78,43,36.75
"Кулер Thermaltake UX200 SE ARGB (Universal socket INTEL/AMD, TDP up to 170w, White)",7,37.12,34,29.69
Кулер TITAN DC-156V925X/R,2,8.91,7.3,5.94
Кулер TITAN TTC-NC25TZ,7,27.27,21,24.79
Кулер TITAN TTC-NK96TZ/NPW,4,24.17,22,21.97
"Кулер Xilence XC129 M403 ARGB (Universal socket INTEL/AMD, TDP up to 150w)",2,31.42,28.5,24.17
"Кулер XYZ Thermax 4 Black (Universal socket INTEL/AMD, PWM, 4x copper heat pipes, X-AC-THERB4)",31,26.76,22.5,17.84
"Кулер XYZ Thermax 4 Pulsar Black (Universal socket INTEL/AMD, PWM, 4x copper heat pipes, X-AC-THERPULB4)",31,33.43,28.5,22.29
"Кулер XYZ Thermax 6 Black (Universal socket INTEL/AMD, PWM, 6x copper heat pipes, X-AC-THERB6)",31,31.21,26.5,20.81
"Кулер XYZ Thermax 6 DUO Black (Universal socket INTEL/AMD, PWM, 12x copper heatpipes, X-AC-THERDUOB6)",13,51.04,43,34.03
"Кулер XYZ Thermax 6 Pulsar Black (Universal socket INTEL/AMD, PWM, 6x copper heat pipes, X-AC-THERPULB6)",31,37.9,32,25.27
"Кулер XYZ Thermax 6 Pulsar White (Universal socket INTEL/AMD, PWM, 6x copper heat pipes, X-AC-THERPULW6)",31,40.13,32,26.75
"Кулер Zalman CNPS10X Optima II Black RGB (Universal socket INTEL/AMD, RBG, PWM, TDP up to 180w)",1,49.49,41,35.84
"Кулер Zalman CNPS10X Performa Black (Universal socket INTEL/AMD, PWM, TDP up to 180w)",5,39.06,33.8,27.05
"Кулер Zalman CNPS9X Optima RGB (Universal socket INTEL/AMD, PWM, TDP up to 180w)",1,36.24,31.5,26.84
"Кулер Zalman CNPS9X Performa Black (Universal socket INTEL/AMD, PWM, TDP up to 180w, CNPS9X PERFORMA)",1,41.53,37.5,30.74
"Кулер вентилятор для корпуса CoolMate SX-F211 (120x120x25, 1200 RPM, RGB)",963,3.77,3,2.1
"Кулер вентилятор для корпуса CrownMicro CMCF-12025S-1200 (120x120x25, 1500rpm, 35CFM, 20Db)",2,3.39,2.7,1.6
"Кулер вентилятор для корпуса CrownMicro CMCF-12025S-1210 (120x120x25, 1500rpm, 35CFM, 20Db, RED Backlight)",11,3.09,3,2.69
"Кулер вентилятор для корпуса CrownMicro CMCF-12025S-1213 (120x120x25, 1500rpm, 35CFM, 20Db, ORANGE Backlight)",25,3.25,3,2.82
"Кулер вентилятор для корпуса CrownMicro CMCF-14025S-1400 (140x140x25, 800-1300rpm, 56CFM, 27Db)",10,3.22,3,2.48
"Кулер вентилятор для корпуса CrownMicro CMCF-8025S-800 (80x80x25, 2000rpm, 40CFM, 28Db)",17,1.78,1.5,1.43
"Кулер вентилятор для корпуса CrownMicro CMCF-9225S-920 (92x92x25, 800-1800rpm, 27CFM, 22.5Db)",7,1.53,1.5,1.18
"Кулер вентилятор для корпуса Genesis NGF-1168 Hydrion 120 (120x120x25, 1000rpm, 42CFM, 19Db, GREEN Backlight)",1,6.01,5.3,4.45
"Кулер вентилятор для корпуса ID-Cooling AS-120-ARGB-K TRIO 3-Pack (120x120x25mm, 300-2000rpm, 58CFM, 27.2Db)",2,14.88,13.8,11.91
"Кулер вентилятор для корпуса ID-Cooling ZF-14025-ARGB (140x140x25, 17-37Db, LED)",7,17.74,16,13.46
"Кулер для ноутбука CrownMicro CMLC-1101 (up to 17"", Blue backlight, 2xCooler)",2,11.02,10,9.59
"Кулер для ноутбука CrownMicro CMLS-130 (up to 19"", Red backlight, 1xCooler)",2,19.78,17.5,17.2
"Кулер для ноутбука CrownMicro CMLS-132 (up to 19"", Green backlight, 1xCooler)",2,19.75,18,14.11
"Кулер для ноутбука CrownMicro CMLS-133 (up to 19"", Orange backlight, 1xCooler)",7,15.96,14,13.88
"Кулер для ноутбука CrownMicro CMLS-400 (up to 17"", 1xCooler)",10,5.97,5.5,5.19
"Кулер для ноутбука Genesis NHG-1678 OXID 450 RGB (up to 15.6"", LED Light, 1xUSB, 1xCooler)",11,31.16,27,23.08
"Кулер для ноутбука Genesis NHG-2075 OXID 260 (up to 17.3"", LED Light, 2xUSB, 4xCooler)",2,20.66,19.8,17.52
"Кулер для ноутбука Natec NPL-2252 Dipper 2 (up to 17.3"", LED Light, 1xUSB, 1xCooler)",19,17.63,16,13.06
"Кулер для ноутбука Natec Oriole NPL-1926 (up to 17.3"", LED Light, 2xUSB, 3xCooler)",7,22.21,20,17.09
"Кулер система жидкостного охлаждения Arctic Liquid Freezer III Pro 360 Black (Universal socket INTEL, PWM)",5,128.25,119,101.56
Кулер система жидкостного охлаждения Cougar Poseidon Elite ARGB 360 Black (INTEL/AMD),1,108.61,96,86.58
Кулер система жидкостного охлаждения DeepCool GAMMAXX L240 A-RGB,3,70.7,64,56.56
Кулер система жидкостного охлаждения ID-Cooling DASHFLOW 360 Basic Black (INTEL/AMD),2,88.07,78,70.45
"Кулер система жидкостного охлаждения Thermaltake TH360 ARGB Sync  (Universal socket INTEL, PWM)",1,150.61,132,120.49
"Кулер система жидкостного охлаждения XYZ AQUAPULSE 240 Black (INTEL/AMD, A-RGB Screen, X-WC-AQUA-240B)",7,57.26,48,38.17
"Кулер система жидкостного охлаждения XYZ AQUAPULSE 360 Black (INTEL/AMD, A-RGB Screen, X-WC-AQUA-360B)",9,79.18,69.5,54.61
"Кулер система жидкостного охлаждения XYZ HYDROTEMP 240 Black (INTEL/AMD, A-RGB Screen, X-WC-HYDROTEMP-240B)",7,72.67,63,50.12
"Кулер система жидкостного охлаждения XYZ HYDROTEMP 360 Black (INTEL/AMD, A-RGB Screen, X-WC-HYDROTEMP-360B)",9,93.93,81.5,64.78
"Кулер система жидкостного охлаждения Zalman Reserator5 Z24 Black (Universal socket INTEL, AMD, S1700, AM5, PWM, 37Db)",1,118.33,103.5,87.76
"Кулер/Столик для ноутбука CrownMicro CMLS-100 (up to 17"", 2xCooler, adjustable height, Silver)",4,33.11,30,28.79
"Кулер/Столик для ноутбука CrownMicro CMLS-116G (up to 17"", 2xCooler, adjustable height)",5,23.04,21,20.04
"Мат. плата Arktek G41 AK-G41M EL (S-775, G41, VGA, 2DDR3, PCI-E, COM, SATA3, LAN)",16,55.59,35.5,27.79
"Мат. плата Arktek H81 AK-H81M EL (S-1150, H81, VGA, HDMI, PCI-E, 2DDR3, PCI, SATA3, GbLAN)",6,56.37,48,35.23
"Мат. плата Asrock A520M-HVS (S-AM4, A520, VGA, DVI, HDMI, 2xPCI-E, 2DDR4, M.2, SATAIII RAID, PCI, SATA3, GbLAN)",1,72.88,64.8,60.74
"Мат. плата ASROCK H510M-HDV/M.2 SE (S-1200, H510, VGA, DVI, HDMI, 2xPCI-E, 2DDR4, M.2, SATA3, GbLAN)",2,77.76,72.5,69.55
"Мат. плата ASUS PRIME A520M-K (S-AM4, A520, VGA, HDMI, 3xPCI-E, 2DDR4, SATAIII RAID, PCI, SATA3, GbLAN)",1,86.72,75,69.77
"Мат. плата ASUS PRIME B660M-K D4 (S-1700, B660, VGA, HDMI, 3xPCI-E, 2xDDR4, 2xM.2, SATAIII RAID, PCI, SATA3, GbLAN)",4,108.4,99,91.29
"Мат. плата ASUS PRIME B760M-A D4-CSM (S-1700, B760, 2xHDMI, DP, 3xPCI-E, 4xDDR4, 2xM.2, SATAIII, PCI, SATA3, GbLAN)",2,143.73,129.5,118.58
"Мат. плата ASUS PRIME B760M-A Wi-Fi D4 (S-1700, B760, 2xHDMI, DP, 3xPCI-E 4.0, 4xDDR4, 2xM.2, SATAIII, SATA3, BT5.2, 2.5GbLAN)",1,176.23,161,146.86
"Мат. плата ASUS PRIME B760M-K (S-1700, B760, VGA, HDMI, 2xPCI-E, 2xDDR5, 2xM.2, SATAIII RAID, PCI, SATA3, GbLAN)",21,129.79,118,108.26
"Мат. плата ASUS PRIME H310M-R (S-1151v2, H310, VGA, HDMI, PCI-E, 2DDR4, PCI, SATA3, GbLAN)",1,67.25,56.5,52.48
"Мат. плата ASUS PRIME H510M-K (S-1200, H510, VGA, HDMI, PCI-E, 2DDR4, PCI, SATA3, GbLAN)",2,81.96,75.5,67.14
"Мат. плата ASUS PRIME H510M-R R2.0-SI (S-1200, H470, VGA, HDMI, PCI-E, 2DDR4, SATA3, GbLAN)",10,80.8,74,66.95
"Мат. плата ASUS PRIME H610M-K D4 (S-1700, H610, VGA, HDMI, PCI-E, 2DDR4, PCI, SATA3, GbLAN)",100,94.18,87,71.87
"Мат. плата ASUS PRIME H610M-R D4-SI (S-1700, H610, VGA, HDMI, PCI-E, 2DDR4, M.2, PCI, SATA3, GbLAN)",34,84.54,77,70.45
"Мат. плата ASUS PRIME H770-PLUS D4 (S-1700, H770, HDMI, DP, 5xPCI-E, 4DDR5, 3xM.2, 4xSATA3, GbLAN)",1,228.91,207,188.43
"Мат. плата ASUS PRIME X570-P (S-AM4, X570, HDMI, 2xPCI-E, 4DDR4, SATAIII RAID, PCI, SATA3, GbLAN)",1,246.88,221.5,205.73
"Мат. плата ASUS ROG STRIX Z790-A GAMING WIFI D4 (S-1700, Z790, HDMI, DP, 4xPCI-E, 4DDR4, 4xM.2, SATA3, Wi-Fi 6e, GbLAN)",1,412.29,365,343.57
"Мат. плата ASUS TUF GAMING Z790-BTF WIFI (S-1700, Z790, HDMI, DP, 3xPCI-E, 4DDR5, 4xM.2, SATA3, Wi-Fi 7, GbLAN)",1,418.23,374,377.5
"Мат. плата Gigabyte B550M DS3H (S-AM4, B550, DVI, HDMI, DP, 3xPCI-E, 4xDDR4, 2xM.2, SATAIII RAID, PCI, SATA3, GbLAN)",1,128.2,118,106.83
"Мат. плата Gigabyte B650M DS3H (S-AM5, B650, HDMI/DP, 2xPCI-E, 4DDR5, 2xM.2, GbLAN)",1,154.58,146,147.22
"Мат. плата Gigabyte B760M Gaming (S-1700, B760, HDMI, DP, 3xPCI-E, 2DDR4, 2xM.2, SATAIII RAID, SATA3, GbLAN, B760MGAMINGDDR4)",2,140.38,127,116.98
"Мат. плата Gigabyte B850M D3HP (S-AM5, B850, HDMI/2xDP, 2xPCI-E, 4DDR5, 2xM.2, GbLAN)",1,200.33,184,166.94
"Мат. плата MSI PRO B760M-E (S-1700, B760, VGA, HDMI, 2xPCI-E, 2DDR4, M.2, SATAIII RAID, PCI, SATA3, GbLAN)",1,126.14,114.5,105.11
"Мат. плата MSI PRO H510M-B (S-1700, H510, VGA, HDMI, PCI-E, 2DDR4, M.2, SATA3, GbLAN)",7,73.46,70,61.22
"Мат. плата MSI PRO H610M-E DDR4 (S-1700, H610, VGA, HDMI, 2PCI-E, 2DDR4, SATA3, GbLAN)",1,81.33,76,67.78
"Микрофон Natec Adder NMI-0776 (3.5mm Jack, Black)",5,11.24,9.8,7.49
Микрофон SVEN MK-200,4,4.02,3.3,2.68
"Модуль памяти DIMM 16GB DDR4 CRUCIAL CT16G4DFRA32A (3200MHz, 1.2v)",10,73.33,63.8,58.66
Модуль памяти DIMM 16GB DDR4 PATRIOT PSD416G32002 (3200MHz),10,53.84,47.5,31.91
"Модуль памяти DIMM 16GB DDR4 PATRIOT PSP416G320081H1 (3200MHz, Heatsink)",1,57.16,48.5,31.75
Модуль памяти DIMM 16GB DDR4 PATRIOT VIPER 4 PV416G300C6K (3000MHz),1,62.18,57.5,56.53
Модуль памяти DIMM 16GB DDR4 PATRIOT VIPER Black PVB416G400C9K (4000MHz),1,77.08,64,102.78
Модуль памяти DIMM 16GB DDR4 PATRIOT VIPER Black PVB416G413C8K (4133MHz),1,79.05,65.8,112.93
Модуль памяти DIMM 16GB DDR4 PATRIOT VIPER Elite II PVE2416G400C0 (4000MHz),3,62.13,55.5,47.8
"Модуль памяти DIMM 16GB DDR4 PATRIOT VIPER Steel PVS416G300C6K (PC24000, 3000MHz)",1,60.14,55.5,54.67
Модуль памяти DIMM 16GB DDR4 PATRIOT VIPER Steel PVS416G360C8K KIT (3600MHz),1,63.66,56.5,55.36
Модуль памяти DIMM 16GB DDR4 PATRIOT VIPER Steel RGB PVSR416G360C0K (3600MHz),6,70.96,65.8,64.51
