NAME,QTY,RETAIL,DEALER,CURRENT_COST
"Держатель для селфи CrownMicro CMSS-001 (Bluetooth, Black)",3,6.43,5,6.43
Держатель для селфи NATEC SF-20W WIRED BLACK,5,5.94,4.3,2.97
"Джойстик Genesis NJG-0773 P58 (For PS3/PC, Wired, USB)",7,18.2,16,13.48
"Джойстик Genesis NJG-1425 MANGAN 200 (For PC, Wired, USB)",7,12.41,11,9.19
"Джойстик беспроводной Genesis NJG-0692 Mangan PV58 (For PS3/PC, Wireless, USB)",6,25.09,21.8,18.59
"Джойстик беспроводной Genesis NJG-0739 PV65 (For PS3/PC, Wireless, USB)",14,28,24,20.74
"Джойстик беспроводной Genesis NJG-2100 Mangan 400 (For PC/Console, Wireless, USB, Black)",5,37.77,32.7,27.98
"Джойстик беспроводной Genesis NJG-2102 Mangan 400 (For PC/Console, Wireless, USB, Red)",5,37.63,32.5,27.87
"Джойстик беспроводной Logitech Gamepad F710 (PC, USB, Silver)",1,43.74,39,36.45
"Джойстик беспроводной SVEN GC-2040 (For PS3/PC/Android, Wireless, USB)",5,26.5,20.7,17.67
"Джойстик руль Genesis NGK-1566 SEABORG 350 (For PC/PS3, Wired, USB)",10,81.72,73,62.86
"Джойстик руль Genesis NGK-1567 SEABORG 400 (For PC/PS3, USB)",4,135.9,121,104.54
"Джойстик руль SVEN GC-W300 (For PC, Wired, USB)",2,42.65,36.8,31.59
"Дисковод внешний DVD-RW LG GP57EB40 (USB, 24x/8x, Black)",20,35.98,32.8,28.55
"Дисковод внешний DVD-RW LG GP57ES40 (USB, 24x/24x, Silver)",12,35.47,32.8,27.97
"Дисковод внешний DVD-RW LG GP60NB60 (USB, 24x/24x, Black)",39,32.5,30,27.08
Док-станция HDD Natec Kangaroo Dual SATA USB 3.0,1,59.72,50.5,37.33
"Док-станция HDD Ugreen 50857 (2xSATA, USB 3.0)",2,39.49,34,29.76
Док-станция Lightwave LW-DOCK-51A (USB-C to 3xUSB-A 3.0; 1xHDMI 4K@30Hz; 1xUSB-C PD3.0 100W),15,17.21,15.7,12.29
"Док-станция Natec FOWLER SLIM (2xUSB 3.0, HDMI 4K, USB-C)",3,46.76,39,27.5
"Жесткий диск 10TB SATAIII SEAGATE ST10000VN000 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",1,360.48,319,288.38
"Жесткий диск 12TB SATAIII SEAGATE ST12000VN0008 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",3,353.72,326,294.76
"Жесткий диск 1TB Seagate Barracuda ST1000LM048 (2.5"", SATAIII, 5400rpm, 128Mb)",5,69.62,64.3,58.02
"Жесткий диск 20TB SATAIII Seagate IronWolf Pro ST20000NT001 (3.5"", 7200rpm, 256Mb)",2,626.98,553,501.59
"Жесткий диск 2TB Seagate Barracuda ST2000LM015 (2.5"", SATAIII, 5400rpm, 128Mb)",13,95.97,88.3,79.98
"Жесткий диск 2TB Seagate Original ST2000DM008 (3.5"", SATAIII, 7200rpm, 256Mb)",18,76.13,70,63.44
"Жесткий диск 2TB Toshiba P300 HDWD220UZSVA (3.5"", SATAIII, 5400rpm, 128Mb)",14,70.47,65,58.72
"Жесткий диск 4TB SATAIII SEAGATE SkyHawk ST4000VX016 (3.5"", SATAIII, 5400rpm, 256MB)",7,118.78,107,95.03
"Жесткий диск 4TB SATAIII SEAGATE ST4000DM004 (3.5"", SATAIII, 5400rpm, 256MB)",25,117.24,108.5,97.7
"Жесткий диск 4TB Seagate Barracuda ST4000LM024 (2.5"", SATAIII, 5400rpm, 128Mb)",2,161.12,148,134.27
"Жесткий диск 8TB SATAIII SEAGATE ST8000VN004 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)",15,257.19,225,205.75
"Жесткий диск внешний 10TB Seagate Expansion STKP10000400 (3.5"", USB 3.1, Black)",6,296.53,261,237.22
"Жесткий диск внешний 12TB Seagate Expansion STKP12000400 (3.5"", USB 3.1, Black)",5,330.28,304,275.23
"Жесткий диск внешний 16TB Seagate One Touch Hub STLC16000400 (3.5"", USB 3.0, Black)",1,470.49,415,376.39
"Жесткий диск внешний 16TB WD My Book WDBBGB0160HBK (3.5"", USB 3.0, Black)",3,483.17,426,386.54
"Жесткий диск внешний 1TB Seagate Expansion STKM1000400 (2.5"", USB 3.0, Black)",4,67.2,61.5,56.46
"Жесткий диск внешний 1TB Toshiba Canvio Basics HDTB410EK3AA (2.5"", USB 3.0, Black)",1,65.21,55,38.36
"Жесткий диск внешний 2TB Seagate Expansion STKM2000400 (2.5"", USB 3.0, Black)",2,92.05,84.5,77.2
"Жесткий диск внешний 2TB Toshiba Canvio Basics HDTB520EK3AA (2.5"", USB 3.0, Black)",2,87.4,80.5,76
"Жесткий диск внешний 4TB Seagate Expansion STKM4000400 (2.5"", USB 3.0, Black)",3,135.92,123,113.27
"Жесткий диск внешний 4TB Seagate Expansion STKP4000400 (3.5"", USB 3.0, Black)",1,142.6,131,124
"Жесткий диск внешний 4TB Toshiba Canvio Basics HDTB540EK3CA (2.5"", USB 3.2, Black)",1,133.4,123.5,116
"Жесткий диск внешний 5TB WD Elements Portable (2.5"", USB 3.0)",1,162.72,150,135.6
"Жесткий диск Внешний корпус для HDD AgeStar 3UB2P2 (SATA-3, 2.5"", Black, USB 3.0)",8,9.35,8.5,6.53
"Жесткий диск Внешний корпус для HDD AgeStar SUBCP1 (SATA-3, 2.5"", Black, USB 2.0)",8,7.67,6.7,4.79
"Жесткий диск Внешний корпус для HDD LC-25BUB3 (SATA-3, 2.5"", Black, USB 3.0)",2,17.79,14,10.47
"Жесткий диск Внешний корпус для HDD Ugreen 70609 (SATA-3, 2.5"", Black, USB 3.0)",2,9.3,7.7,6.58
"Жесткий диск внешний корпус для SSD Patriot TXD PV810UPNGM (M.2 NVMe, PCIe3.0, Alluminium, Dark Silver, USB-C)",6,17.92,12.8,10.36
"Жесткий диск внешний корпус для SSD Patriot VXD PV860UPRGM (M.2 NVMe, PCIe3.0, Alluminium, RGB, Silver, USB-C)",4,31.59,28,28.72
"Зарядное устройство CrownMicro CMWC-3001 (1xMicro USB, 1xUSB, 1.2A, 100-240V, Black)",9,1.27,1,1.27
"Зарядное устройство Digma DGWC-1U-2.1A-WG 2.1A (USB, White)",1,3.51,3.1,2.34
"Зарядное устройство для ноутбука CrownMicro CMLC-5006 (Universal, 65W, USB QC 3.0)",2,18.41,15,18.41
"Зарядное устройство для ноутбука Natec GRAYLING (Universal, 90w, USB-C)",3,62.22,52,41.48
Звуковая карта UGO UKD-1085 (USB),2,8.12,4,2.32
"Звуковая карта Ugreen 30143 (2x3.5mm, USB 2.0, 15cm, White)",2,7.7,6.3,5.5
"Звуковая карта Ugreen 80864 (1x3.5mm, USB 2.0)",3,9.45,7.8,6.75
ИБП UPS 1000VA APC BV1000I-GR EASY UPS AVR,5,88.69,78.5,70.95
ИБП UPS 1000VA CrownMicro CMU-1000X,2,90.92,76,72.73
ИБП UPS 1050VA Lightwave LW UPS 1050,47,52.68,45.5,35.12
ИБП UPS 1200VA APC BX1200MI-GR Back-UPS AVR,3,227.34,205,181.88
ИБП UPS 1200VA CrownMicro CMU-SP1200 COMBO,3,114.81,92.5,81.38
ИБП UPS 1200VA CrownMicro CMU-SP1200 COMBO USB,2,108.11,95,79.62
ИБП UPS 1200VA CrownMicro CMU-SP1200EURO USB,5,117.4,108,89.46
ИБП UPS 1200VA CrownMicro CMU-SP1200IEC LCD USB,14,109.42,98,89.02
ИБП UPS 1200VA CrownMicro CMU-SP1200IEC USB,4,105.1,96,82.74
ИБП UPS 1500VA CrownMicro CMU-SP1500IEC USB,3,131.87,120,103.45
ИБП UPS 2000VA CrownMicro CMU-SP2000EURO USB,1,135.58,125.5,108.46
ИБП UPS 600VAPowercom King Pro RM KIN-600AP,1,199.15,150,221.28
ИБП UPS 650VA APC BV650I-GR EASY UPS AVR,5,68.05,62,54.86
ИБП UPS 650VA CrownMicro CMU-650XIEC,2,46.17,33,21.32
ИБП UPS 650VA CrownMicro CMUS-255 EURO SMART,2,74.76,60,74.76
ИБП UPS 650VA CrownMicro CMU-SP650 COMBO,3,55.16,50,44.13
ИБП UPS 650VA CrownMicro CMU-SP650 COMBO USB,2,60.37,52,45.03
ИБП UPS 650VA CrownMicro CMU-SP650EURO,18,60.66,54.5,50.55
ИБП UPS 650VA CrownMicro CMU-SP650EURO USB,7,56.67,52,51.65
ИБП UPS 650VA CrownMicro CMU-SP650IEC,3,43.57,38,31.12
ИБП UPS 650VA CrownMicro CMU-SP650IEC USB,4,60.18,55.5,48.15
ИБП UPS 750VA Lightwave LW UPS 750,94,36.68,30.5,24.45
ИБП UPS 800VA APC BV800I-GR EASY UPS AVR,3,93.16,73,64.61
ИБП UPS 800VA CrownMicro CMU-SP800COMBO,7,72.35,62,55.47
ИБП UPS 800VA CrownMicro CMU-SP800EURO LCD,8,74.72,65,59.78
ИБП UPS 800VA CrownMicro CMU-SP800EURO LCD USB,1,73.45,65.5,56.5
ИБП UPS 800VA CrownMicro CMU-SP800EURO USB,27,69.64,64,58.03
ИБП UPS 800VA CrownMicro CMU-SP800IEC LCD USB,9,60.32,57,52.45
ИБП UPS 800VA Powercom Raptor RPT-800A,1,68.57,56.5,50.79
ИБП UPS 800VA Powercom Raptor RPT-800AP,1,70.56,56.5,50.84
ИБП UPS 850VA CrownMicro CMUS-275 EURO SMART,3,81.1,70,81.1
ИБП UPS 850VA Lightwave LW UPS 850,94,46.91,39,31.27
Инструмент GEMBIRD T-WC-04,1,11.25,11,8.35
Инструмент Insertion Tool LANBERG NT-0001 FOR LSA CONNECTION,30,2.44,1.5,1.81
Инструмент Stripping Tool LANBERG NT-0101 UNIVERSAL STRIPPING TOOL FOR UTP STP TELEFON AND DATA CABLE,36,2.44,1.5,1.81
"Инструмент набор отверток Ugreen 80459 (38-in-1, Aluminum Alloy Handle, Magnetic Extension Bar, Screw Bits Dimension)",5,12.6,10.8,9.02
"Источник питания Buro BP20A (20000mAh, 10W, 2A, 1xUSB-A/1xUSB-C/1xMicro USB, Black)",3,19.06,16.3,14.12
"Источник питания Buro T4-10000 (10000mAh, 10W, 2A, 2xUSB-A, Black)",5,13.17,12,9.41
"Источник питания CrownMicro CMPB-6200 (2600mAh, 1A, Blue&Yellow)",7,7.46,4.4,5.03
"Источник питания CrownMicro CMPB-6200 (2600mAh, 1A, Red&Yellow)",2,7.48,4.4,4.99
"Источник питания Hiper EP 10000 (10000mAh, 22.5W, 5A, 2xUSB-A/1xUSB-C, Black)",1,16.16,14,11.97
"Источник питания Hiper SM20000 (20000mAh, 12W, 2.4A, 2xUSB-A/1xUSB-C, Black)",5,17.98,15,13.32
Источник питания Lightwave LW-PB-20K-B01 (20000mAh),9,21.15,19.3,15.67
"Источник питания Noname 8000135 (5500mAh, Hand Warmer)",1,26.02,19.4,17.35
"Источник питания Noname 8000142 (5500mAh, Hand Warmer)",1,26.02,19.4,17.35
"Кабель CrownMicro CMPS-01 Power Cord Adapter (IEC to EURO, 16A, 15cm, black)",19,3.98,3.1,2.34
Кабель D-Link DKVM-CU5/B1A (5m),13,15.2,10,13.81
"Кабель Genesis NKA-1993 HDMI-HDMI V2.1 8K (PS5/PS4, 3.0M)",1,10.74,9.8,8.95
Кабель LANBERG CA-C13C-11CC-0018-BK POWER CORD CEE 7/7->IEC 320 C13 1.8M VDE BLACK,354,5.15,3.7,2.66
Кабель LANBERG CA-C13C-11CC-0030-BK POWER CORD CEE 7/7 / IEC 320 C13 3M VDE BLACK,52,6.89,5.8,4.29
Кабель LANBERG CA-C13C-11CC-0050-BK POWER CORD CEE 7/7 / IEC 320 C13 5M VDE BLACK,26,10.83,8.8,6.77
Кабель LANBERG CA-C13C-11CC-0100-BK POWER SUPPLY CEE 7/7->IEC 320 C13 10M VDE BLACK,8,13.2,11,8.8
Кабель LANBERG CA-C13C-12CC-0018-BK POWER CORD CEE 7/7->IEC 320 C13 1.8M ANGLED RIGHT VDE BLACK,35,4.12,3.7,2.75
Кабель LANBERG CA-C5CA-15CC-0018-BK POWER CORD LAPTOP (MIKI) IEC 320 C5 1.8M VDE BLACK,85,4.19,3.5,2.46
Кабель LANBERG CA-C7CA-10CC-0018-BK POWER SUPPLY EURO (RADIO) CEE 7/16->IEC 320 C7 1.8M BLACK,101,2.39,2,1.25
Кабель LANBERG CA-CMHD-10CU-0018-BK USB-C(M)->HDMI(M) CABLE 1.8M 4K 60HZ BLACK,5,14.44,12.3,10.32
Кабель LANBERG CA-CMHD-10CU-0030-BK USB-C(M)->HDMI(M) CABLE 3M 4K 60HZ BLACK,13,15.78,14.4,11.27
Кабель LANBERG CA-DPDP-10CC-0018-BK DISPLAYPORT M/M 1.8M 4K BLACK,5,6.48,5.5,3.7
Кабель LANBERG CA-DPDP-10CC-0030-BK DISPLAYPORT M/M 3M 4K BLACK,29,8.05,6,4.17
Кабель LANBERG CA-DPDP-20CU-0018-BK DISPLAYPORT M/M 1.8M 8K 60HZ BLACK,10,12.47,9,6.64
Кабель LANBERG CA-DPHD-11CC-0030-BK DISPLAYPORT(M)->HDMI 3M BLACK,11,7.78,7,5.52
Кабель LANBERG CA-DPHD-11CC-0050-BK DISPLAYPORT(M)->HDMI 5M BLACK,3,12.53,9.7,8.02
Кабель LANBERG CA-DVID-10CC-0018-BK DVI-D(M)(24+1)->DVI-D(M)(24+1) DUAL LINK 1.8M BLACK,62,6.28,5.8,4.55
Кабель LANBERG CA-DVID-10CC-0030-BK DVI-D(M)(24+1)->DVI-D(M)(24+1) DUAL LINK 3M BLACK,91,8.11,5.3,4.77
Кабель LANBERG CA-DVIS-10CC-0018-BK DVI-D(M)(18+1)->DVI-D(M)(18+1) SINGLE LINK 1.8M BLACK,1,4.76,3.3,2.75
"Кабель LANBERG CA-HDDV-10CC-0005-BK HDMI(M)-DVI-D(M) (18+1) 0.5M, SINGLE LINK, BLACK",15,3.63,3,2.02
"Кабель LANBERG CA-HDDV-20CU-0018-BK HDMI(M)-DVI-D(M) (24+1) 1.8M, DUAL LINK, 4K, Gold Plated, BLACK",13,5.33,4.7,3.45
Кабель LANBERG CA-HDMI-10CC-0150-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 15M,4,23.88,19,15.92
Кабель LANBERG CA-HDMI-10CC-0200-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 20M,11,32.79,28.5,23.42
Кабель LANBERG CA-HDMI-11CC-0005-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 50CM,27,2.05,1.8,1.15
Кабель LANBERG CA-HDMI-11CC-0018-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 1.8M,10,2.98,2.5,1.63
