"Product","Stock","Transit","Sold (30d)","Order Qty","Last Supplier","Last Price","Current Cost","Expected Profit","Margin %","Stock-Out Days","Priority Score","Priority","Sales Period","Transit Time"
"Коммуникатор Lightwave LW-HUB-A104-4 (USB Type-A to 4xUSB 2.0 Type-A)","25","0","0","0","""TLM INTERNATIONAL FZE"" DUBAI","$1.70","$2.30","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Коммуникатор Lightwave LW-HUB-C304-4 (USB Type-C to 1xUSB 3.0/2xUSB 2.0 Type-A/1xType-C Ports)","25","0","2","0","""TLM INTERNATIONAL FZE"" DUBAI","$1.70","$2.30","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Коммуникатор USB-HUB Natec MAYFLY (4port, USB-C 3.0, USB-A adapter)","50","0","1","0","Unknown","$0.00","$7.95","$0.00","0.0%","∞","9.3","NO","30d","4 weeks (1x)"
"Коммуникатор USB-HUB Natec SILKWORM (4port, USB-C 3.0, Black)","32","0","0","0","Unknown","$0.00","$9.59","$0.00","0.0%","∞","8.6","NO","30d","4 weeks (1x)"
"Коммуникатор USB-HUB Orico AH-A13-GY-EP-HW (ABS Plastic, USB 3.0 Type-A to 4xUSB 3.0 Type-A Ports)","194","0","6","0","""Orico""","$1.80","$2.43","$0.00","0.0%","∞","8.6","NO","30d","4 weeks (1x)"
"Коммуникатор USB-HUB Orico FL02-BK-BP-HW (ABS Plastic, USB 2.0 Type-A to 4xUSB 2.0 Type-A Ports)","199","0","1","0","""Orico""","$1.30","$1.75","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Коммуникатор USB-HUB TP-Link UE330 (USB 3.0 Type-A to 3xUSB 3.0, 1xGigabit LAN, White)","19","0","0","0","""GRAND PCD FZE"" DUBAI","$15.90","$19.99","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Коннектор LANBERG PLS-5000 FTP, CAT5E, RJ-45 PLUG 8P8C (100PCS)","5","0","1","0","""Impakt""","$5.96","$9.15","$0.00","0.0%","∞","12.1","NO","30d","4 weeks (1x)"
"Коннектор LANBERG PLU-6020 UTP, CAT6, RJ-45 PLUG 8P8C (20PCS)","5","0","0","0","""Impakt""","$0.94","$1.45","$0.00","0.0%","∞","17","NO","30d","4 weeks (1x)"
"Конференц-камера Logitech MeetUp Video Conference Camera (960-001102)","1","0","1","0","""Kosatec""","$396.04","$511.61","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Корпус MidiTower Accord Entry ACC-2053B Black (w/o PSU, MidiATX, 2xUSB2.0)","2","0","13","11","""Merlion""","$10.51","$15.27","$0.00","0.0%","4.7","73","CRITICAL","30d","4 weeks (1x)"
"Корпус MidiTower Accord Q03B w/o black (MidiATX, 2xUSB3.0)","2","0","0","0","""Merlion""","$20.74","$26.19","$0.00","0.0%","∞","24","NO","30d","4 weeks (1x)"
"Корпус MidiTower Coolermaster MasterBox TD300 Mesh w/o black (MidiATX)","7","0","0","0","Unknown","$0.00","$88.63","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Корпус MidiTower CoolMate Gaming SX-8025 Black (w/o PSU, 1xUSB 3.0, 3xUSB 2.0)","92","0","9","0","""STANLEY SHENZHEN COMPANY""","$10.35","$15.71","$0.00","32.2%","∞","22.3","NO","30d","4 weeks (1x)"
"Корпус MidiTower CoolMate Gaming SX-8027 Black (w/o PSU, 1xUSB 3.0, 3xUSB 2.0)","100","0","10","0","""STANLEY SHENZHEN COMPANY""","$10.50","$15.94","$0.00","30.3%","∞","19.5","NO","30d","4 weeks (1x)"
"Корпус MidiTower CoolMate Office SX-C3132 Black (600W, 1xUSB 3.0, 3xUSB 2.0)","292","0","53","0","""STANLEY SHENZHEN COMPANY""","$11.61","$17.63","$0.00","31.1%","∞","30","NO","30d","4 weeks (1x)"
"Корпус MidiTower CoolMate Office SX-C3159 Black (600W, 1xUSB 3.0, 2xUSB 2.0)","565","0","14","0","""STANLEY SHENZHEN COMPANY""","$11.31","$17.17","$0.00","79.2%","∞","24.8","NO","30d","4 weeks (1x)"
"Корпус MidiTower Cougar AirFace Pro RGB w/o black (MidiATX)","2","0","3","1","""IT Trading""","$98.72","$98.72","$39.74","40.3%","20","38.7","MEDIUM","30d","4 weeks (1x)"
"Корпус MidiTower Cougar AirFace RGB w/o black (MidiATX)","2","0","0","0","""IT Trading""","$71.45","$71.45","$0.00","0.0%","∞","8.6","NO","30d","4 weeks (1x)"
"Корпус MidiTower Cougar Archon 2 Mesh RGB w/o black (MidiATX)","7","0","0","0","""IT Trading""","$64.50","$64.50","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Корпус MidiTower Cougar MX360 RGB w/o black (MidiATX)","1","0","0","0","""IT Trading""","$54.46","$54.39","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Корпус MidiTower Deepcool Matrexx 50 w/o black (MidiATX, E-ATX)","2","0","1","0","""DG Comp""","$44.48","$44.48","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Корпус MidiTower Genesis NPC-1517 IRID 505 V2 Window w/o Black (MidiATX)","16","0","1","0","""Impakt""","$38.45","$59.20","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Корпус MidiTower Genesis NPC-1518 IRID 505 V2 ARGB Window w/o Black (MidiATX)","18","0","0","0","""Impakt""","$55.02","$84.71","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Корпус MidiTower Genesis NPC-1558 IRID 503 V2 Window w/o Black (MiniATX)","19","0","0","0","""Impakt""","$32.54","$50.10","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Корпус MidiTower Genesis NPC-1872 IRID 505 V2 ARGB Window w/o White (MidiATX)","9","0","0","0","""Impakt""","$55.02","$84.75","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Корпус MidiTower Thermal Master C708 Black (600W)","1","0","0","0","""IT Trading""","$25.66","$25.75","$0.00","0.0%","∞","24","NO","30d","4 weeks (1x)"
"Корпус MidiTower Thermal Master G173 Black (600W)","3","0","1","0","""IT Trading""","$25.80","$25.80","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Корпус MidiTower XYZ AIRONE 100 MESH Black (w/o PSU, Side TG, 6x Integrated A-RGB Fans, X-CS-AIRONE1M-B)","13","0","21","8","""XYZ""","$25.26","$33.16","$118.72","44.8%","18.6","50.5","HIGH","30d","4 weeks (1x)"
"Корпус MidiTower XYZ AIRONE 300-X MESH (w/o PSU, Side TG, 6x Integrated A-RGB Fans, X-CS-AIRONE3XM-B)","32","0","3","0","""XYZ""","$26.72","$35.08","$0.00","0.0%","∞","12.4","NO","30d","4 weeks (1x)"
"Корпус MidiTower XYZ TESSERACT X Black (w/o PSU, Front and Side TG, 7x Integrated A-RGB Fans w/ Controller, X-CS-TESSERACTX-B)","19","0","6","0","""XYZ""","$48.60","$63.80","$0.00","0.0%","∞","10.3","NO","30d","4 weeks (1x)"
"Корпус MidiTower XYZ TITANIUM MESH Black (w/o PSU, Side TG, 4x Integrated A-RGB Fans, X-CS-TITANIUMMESH-B)","13","0","0","0","""XYZ""","$41.54","$54.53","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Корпус MiniTower Deepcool Matrexx 30 SI (MiniATX)","1","0","0","0","""DG Comp""","$26.58","$26.58","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Кресло игровое Fury NFF-1710 AVENGER M+ Black/White","35","0","1","0","""Impakt""","$61.00","$93.92","$0.00","20.4%","∞","12.4","NO","30d","4 weeks (1x)"
"Кресло игровое Genesis NFG-0751 Nitro 770 Black/Red","13","0","0","0","Unknown","$0.00","$184.18","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кресло игровое Genesis NFG-0752 Nitro 330 Black/Red","16","0","0","0","Unknown","$0.00","$135.26","$0.00","0.0%","∞","9.7","NO","30d","4 weeks (1x)"
"Кресло игровое Genesis NFG-1141 Nitro 330 Military LE","2","0","0","0","Unknown","$0.00","$129.41","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кресло игровое Genesis NFG-1576 TRIT 500 RGB Black","9","0","0","0","""Impakt""","$113.40","$174.59","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кресло игровое Genesis NFG-1848 NITRO 650 Onyx Black","4","0","0","0","""Impakt""","$119.40","$183.83","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кресло игровое Genesis NFG-2068 Nitro 550 G2 Black","4","0","0","0","""Impakt""","$107.40","$165.35","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кресло игровое Genesis NFG-2096 NITRO 720 Black-Grey","4","0","1","0","""Impakt""","$125.40","$193.07","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кронштейн для мониторов Arm Media LCD-T01 (15""-32"", Black)","1","0","0","0","""Merlion""","$14.39","$20.66","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кронштейн для мониторов Arm Media LCD-T04 (15""-28"", up to 14kg, Black)","4","0","0","0","""Merlion""","$23.14","$29.22","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кронштейн для мониторов Arm Media LCD-T10 (15""-34"", up to 9kg, Black)","2","0","1","0","""Merlion""","$18.93","$23.91","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кронштейн для мониторов LogiLink BP0045 (13""-32"", Black)","9","0","0","0","Unknown","$0.00","$31.73","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кронштейн для проектора Buro PR07-W (White, Up to 12kg)","3","0","2","0","""Merlion""","$6.35","$8.19","$0.00","28.3%","∞","11.7","NO","30d","4 weeks (1x)"
"Кронштейн для проектора Cactus CS-VM-PR04-AL (Silver)","2","0","1","0","""Merlion""","$10.86","$13.71","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кронштейн для проектора Holder PR-103-W (White)","3","0","0","0","""Merlion""","$10.14","$13.09","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Кулер Arctic Alpine 17 CO (S-1700)","49","0","13","0","""Kosatec""","$7.20","$9.13","$0.00","48.8%","∞","30","NO","30d","4 weeks (1x)"
"Кулер Arctic Alpine 23 CO (S-AM4/AM5)","6","0","0","0","Unknown","$0.00","$8.21","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кулер Crown CM-5 (Universal socket INTEL/AMD, Copper tubes, TDP up to 187w)","8","0","0","0","Unknown","$0.00","$18.79","$0.00","0.0%","∞","8.6","NO","30d","4 weeks (1x)"
"Кулер Crown CM-80 v2 (Universal socket INTEL + S1700/AMD, TDP up to 65w)","110","0","5","0","""CrownMicro""","$2.66","$3.52","$0.00","0.0%","∞","19.4","NO","30d","4 weeks (1x)"
"Кулер Deepcool AG500 (Universal socket INTEL/AMD, 240W)","3","0","0","0","Unknown","$0.00","$39.67","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кулер Deepcool ARCHER BIGPRO (Universal socket INTEL/AMD, 125W, ARCHER.BIGPRO)","1","0","0","0","Unknown","$0.00","$12.52","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кулер Deepcool GAMMAXX 400 EX (Universal socket INTEL/AMD)","1","0","0","0","Unknown","$0.00","$32.23","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кулер Deepcool GAMMAXX GTE V2 (Universal socket INTEL/AMD)","5","0","0","0","Unknown","$0.00","$29.30","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
