"Product","Stock","Transit","Sold (30d)","Order Qty","Last Supplier","Last Price","Current Cost","Expected Profit","Margin %","Stock-Out Days","Priority Score","Priority","Sales Period","Transit Time"
"Видеокарта 2GB Arktek GeForce GT730 AKN730D3S2GL1 (810MHz, DDR3, 128bit, LP, VGA/DVI-I/HDMI)","56","0","7","0","""ARKTEK""","$27.67","$40.57","$0.00","59.9%","∞","18.4","NO","30d","4 weeks (1x)"
"Видеокарта 2GB Arktek GeForce GT740 AKN740D3S2GL1 (5000MHz, GDDR3, 128bit, VGA/DVI/HDMI)","96","0","2","0","""ARKTEK""","$28.90","$39.54","$0.00","24.5%","∞","12.4","NO","30d","4 weeks (1x)"
"Видеокарта 2GB Arktek GeForce GTX750 AKN750D5S2GH1 (5400MHz, DDR5, 128bit, VGA/DVI/HDMI)","29","0","0","0","""ARKTEK""","$45.10","$64.15","$0.00","0.0%","∞","8.6","NO","30d","4 weeks (1x)"
"Видеокарта 4GB Arktek AMD RX550 AKR550D5S4GH1 (6000MHz, GDDR5, 128bit, VGA/DVI/HDMI)","28","0","1","0","""ARKTEK""","$53.00","$70.14","$0.00","0.0%","∞","10.3","NO","30d","4 weeks (1x)"
"Видеокарта 4GB Arktek GeForce GT1030 AKN1030D4S4GL1 (6008MHz, GDDR4, 64bit, VGA/DVI/HDMI)","10","0","0","0","""ARKTEK""","$57.00","$79.41","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Видеокарта 4GB Arktek GeForce GT740 AKN740D5S4GH1 (5000MHz, GDDR5, 128bit, VGA/DVI/HDMI)","17","0","2","0","""ARKTEK""","$45.10","$61.71","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Видеокарта 8GB Arktek AMD RX580 AKR580D5S8GH1 (GDDR5, 256bit, DVI/HDMI/DP)","14","0","15","1","""ARKTEK""","$70.00","$95.77","$0.00","0.0%","28","41.1","MEDIUM","30d","4 weeks (1x)"
"Видеокарта 8GB Zotac GeForce RTX3050 ECO (14000MHz, GDDR6, 128bit, HDMI/3xDP)","4","0","7","3","""Zotac""","$180.00","$231.20","$0.00","0.0%","17.4","34.1","MEDIUM","30d","4 weeks (1x)"
"Видеокарта 8GB Zotac GeForce RTX5060 Ti Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)","10","0","7","0","""Zotac""","$351.00","$445.08","$0.00","26.7%","∞","14.5","NO","30d","4 weeks (1x)"
"Видеокарта 8GB Zotac GeForce RTX5060 Twin Edge (28000MHz, GDDR7, 128bit, HDMI/3xDP)","10","0","12","2","""Zotac""","$274.00","$346.44","$0.00","0.0%","25","35.5","MEDIUM","30d","4 weeks (1x)"
"Графический планшет WACOM Intuos S CTL-6100WLE-N Bluetooth (264 x 200 x 8.8 mm, Green)","1","0","0","0","Unknown","$0.00","$227.42","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Графический планшет WACOM One CTL-472-N (210 x 146 x 8.7 mm, Black, USB)","31","0","0","0","Unknown","$0.00","$53.16","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"Графический планшет WACOM One CTL-472-S (210 x 146 x 8.7 mm, Black, USB)","2","0","0","0","Unknown","$0.00","$70.82","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Джойстик Genesis NJG-1425 MANGAN 200 (For PC, Wired, USB)","7","0","0","0","""Impakt""","$6.12","$9.19","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Джойстик беспроводной Genesis NJG-0739 PV65 (For PS3/PC, Wireless, USB)","13","0","0","0","""Impakt""","$13.47","$20.74","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Джойстик беспроводной Genesis NJG-2100 Mangan 400 (For PC/Console, Wireless, USB, Black)","5","0","0","0","""Impakt""","$18.37","$27.98","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Джойстик беспроводной Genesis NJG-2102 Mangan 400 (For PC/Console, Wireless, USB, Red)","5","0","0","0","""Impakt""","$18.37","$27.87","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Джойстик руль Genesis NGK-1567 SEABORG 400 (For PC/PS3, USB)","3","0","0","0","""Impakt""","$69.41","$104.54","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Дисковод DVD-RW Gembird DVD-SATA-02 (SATA, 24x/16x, Black)","23","0","4","0","""DG Comp""","$24.74","$24.74","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"Дисковод внешний DVD-RW LG GP57EB40 (USB, 24x/8x, Black)","10","0","0","0","""Kosatec""","$21.85","$28.55","$0.00","0.0%","∞","14.9","NO","30d","4 weeks (1x)"
"Дисковод внешний DVD-RW LG GP57ES40 (USB, 24x/24x, Silver)","10","0","0","0","Unknown","$0.00","$27.97","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Дисковод внешний DVD-RW LG GP60NB60 (USB, 24x/24x, Black)","32","0","2","0","Unknown","$0.00","$27.08","$0.00","12.7%","∞","16.8","NO","30d","4 weeks (1x)"
"Док-станция Lightwave LW-DOCK-61A (USB-C to 3xUSB-A 3.0; 1xHDMI 4K@30Hz; 1xRJ45 Gigabit, 1xUSB-C PD3.0 100W)","10","0","0","0","""TLM INTERNATIONAL FZE"" DUBAI","$16.33","$25.29","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Жесткий диск 10TB SATAIII SEAGATE ST10000VN000 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)","2","0","2","0","""Kosatec""","$218.79","$284.16","$0.00","0.0%","28.6","28.1","LOW","30d","4 weeks (1x)"
"Жесткий диск 1TB Seagate Barracuda ST1000LM048 (2.5"", SATAIII, 5400rpm, 128Mb)","5","0","0","0","""Kosatec""","$44.94","$58.02","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Жесткий диск 20TB SATAIII Seagate IronWolf Pro ST20000NT001 (3.5"", 7200rpm, 256Mb)","1","0","1","0","""Kosatec""","$375.73","$484.11","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Жесткий диск 2TB Seagate Barracuda ST2000LM015 (2.5"", SATAIII, 5400rpm, 128Mb)","10","0","3","0","""Kosatec""","$61.65","$79.98","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Жесткий диск 2TB Seagate Original ST2000DM008 (3.5"", SATAIII, 7200rpm, 256Mb)","46","0","4","0","""Kosatec""","$52.42","$67.68","$0.00","0.0%","∞","24","NO","30d","4 weeks (1x)"
"Жесткий диск 2TB Toshiba P300 HDWD220UZSVA (3.5"", SATAIII, 5400rpm, 128Mb)","7","0","0","0","""Kosatec""","$45.24","$58.72","$0.00","0.0%","∞","10.7","NO","30d","4 weeks (1x)"
"Жесткий диск 4TB SATAIII SEAGATE SkyHawk ST4000VX016 (3.5"", SATAIII, 5400rpm, 256MB)","4","0","1","0","""Kosatec""","$72.71","$95.03","$0.00","0.0%","∞","10.3","NO","30d","4 weeks (1x)"
"Жесткий диск 4TB SATAIII SEAGATE ST4000DM004 (3.5"", SATAIII, 5400rpm, 256MB)","12","0","12","0","""Kosatec""","$75.25","$97.70","$0.00","0.0%","30","20.2","NO","30d","4 weeks (1x)"
"Жесткий диск 4TB Seagate Barracuda ST4000LM024 (2.5"", SATAIII, 5400rpm, 128Mb)","1","0","0","0","""Kosatec""","$104.13","$134.27","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Жесткий диск 8TB SATAIII SEAGATE ST8000VN004 NAS IRONWOLF (3.5"", 7200rpm, 256Mb)","9","0","4","0","""Kosatec""","$158.25","$205.75","$0.00","0.0%","∞","10","NO","30d","4 weeks (1x)"
"Жесткий диск внешний 10TB Seagate Expansion STKP10000400 (3.5"", USB 3.1, Black)","2","0","2","0","""Tier Distribution""","$182.50","$237.22","$0.00","0.0%","28.6","27.1","LOW","30d","4 weeks (1x)"
"Жесткий диск внешний 1TB Seagate Expansion STKM1000400 (2.5"", USB 3.0, Black)","5","0","2","0","""IT Trading""","$57.26","$57.26","$0.00","0.0%","∞","15.9","NO","30d","4 weeks (1x)"
"Жесткий диск внешний 2TB Seagate Expansion STKM2000400 (2.5"", USB 3.0, Black)","5","0","9","4","""IT Trading""","$77.00","$80.29","$0.00","0.0%","16.7","35.5","MEDIUM","30d","4 weeks (1x)"
"Жесткий диск внешний 2TB Toshiba Canvio Basics HDTB520EK3AA (2.5"", USB 3.0, Black)","5","0","2","0","""DG Comp""","$76.00","$77.99","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Жесткий диск внешний 4TB Seagate Expansion STKM4000400 (2.5"", USB 3.0, Black)","6","0","6","0","""IT Trading""","$113.27","$120.06","$0.00","0.0%","30","20.9","NO","30d","4 weeks (1x)"
"Жесткий диск внешний 4TB Toshiba Canvio Basics HDTB540EK3CA (2.5"", USB 3.2, Black)","5","0","0","0","""DG Comp""","$116.00","$117.47","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Жесткий диск Внешний корпус для HDD AgeStar 3UB2P2 (SATA-3, 2.5"", Black, USB 3.0)","5","0","1","0","Unknown","$0.00","$6.53","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"Жесткий диск Внешний корпус для HDD AgeStar SUBCP1 (SATA-3, 2.5"", Black, USB 2.0)","8","0","0","0","Unknown","$0.00","$4.79","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Жесткий диск Внешний корпус для HDD Ugreen 70609 (SATA-3, 2.5"", Black, USB 3.0)","1","0","0","0","""X-ART""","$6.67","$6.58","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Жесткий диск внешний корпус для HDD/SSD Orico 2520U3-V1-BK-EP-HW (ABS Plastic, 2.5"", up to 2TB, USB 3.0 Micro-B)","19","0","1","0","""Orico""","$2.57","$3.47","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Жесткий диск внешний корпус для HDD/SSD Orico 2577U3-V1-BK-EP-HW (ABS Plastic​, 2.5"", up to 2TB, USB 3.0 Micro-B)","18","0","2","0","""Orico""","$3.00","$4.05","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Жесткий диск внешний корпус для HDD/SSD Orico 25PW1-C3-BK-EP (ABS Plastic, 2.5"", up to 4TB, USB 3.1 Gen1 Type-C)","2","0","8","6","""Orico""","$2.71","$3.65","$0.00","0.0%","7.4","68.3","HIGH","30d","4 weeks (1x)"
"Жесткий диск внешний корпус для HDD/SSD Orico 25PW1-U3-BK-EP-HW (ABS Plastic, 2.5"", up to 4TB, USB 3.0 Micro-B)","29","0","1","0","""Orico""","$2.57","$3.47","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Жесткий диск внешний корпус для HDD/SSD Orico 3588US3-V1-EU-BK-BP-HW (ABS Plastic, 3.5"", up to 12TB, USB 3.0 Type-B)","4","0","1","0","""Orico""","$10.81","$14.58","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Жесткий диск внешний корпус для HDD/SSD Orico DDL35-C3-EU-BK-BP (Aluminum + Plastic, 3.5"", max 16TB, USB 3.1 Type-C + USB 3.0)","9","0","1","0","""Orico""","$10.71","$14.44","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Жесткий диск внешний корпус для HDD/SSD Orico TX25C3-GY-BP (Aluminum Alloy, 2.5"", up to 4TB, USB 3.1 Gen1 Type-C)","18","0","2","0","""Orico""","$3.95","$5.33","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Жесткий диск внешний корпус для SSD Orico AM2C3-G2-GY-BP (Aluminum alloy, M.2 NVMe, up to 4TB, USB 3.2 Gen2 Type-C)","19","0","1","0","""Orico""","$9.57","$12.91","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Жесткий диск внешний корпус для SSD Orico M2PV-C3-BK-BP-HW (Aluminum + Plastic​, M.2 NVMe, up to 2TB, USB 3.1 Gen2 Type-C)","14","0","1","0","""Orico""","$8.58","$11.57","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Жесткий диск внешний корпус для SSD Orico PWM2-G2-BK-EP (Aluminum + Plastic​, M.2 NVMe, up to 8TB, USB 3.2 Gen2 Type-C)","38","0","2","0","""Orico""","$6.32","$8.52","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Жесткий диск внешний корпус для SSD Patriot TXD PV810UPNGM (M.2 NVMe, PCIe3.0, Alluminium, Dark Silver, USB-C)","8","0","2","0","""Patriot""","$8.00","$10.58","$0.00","0.0%","∞","12.8","NO","30d","4 weeks (1x)"
"Жесткий диск внешний корпус для SSD Patriot VXD PV860UPRGM (M.2 NVMe, PCIe3.0, Alluminium, RGB, Silver, USB-C)","2","0","0","0","Unknown","$0.00","$28.72","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Зарядное устройство CrownMicro CMWC-3001 (1xMicro USB, 1xUSB, 1.2A, 100-240V, Black)","9","0","0","0","Unknown","$0.00","$1.27","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Звуковая карта UGO UKD-1085 (USB)","2","0","0","0","Unknown","$0.00","$2.32","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Звуковая карта Ugreen 80864 (1x3.5mm, USB 2.0)","2","0","0","0","""X-ART""","$6.75","$6.75","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"ИБП UPS 1000VA APC BV1000I-GR EASY UPS AVR","2","0","1","0","""DG Comp""","$70.95","$70.95","$0.00","39.9%","∞","17.1","NO","30d","4 weeks (1x)"
"ИБП UPS 1200VA CrownMicro CMU-SP1200EURO USB","5","0","0","0","""CrownMicro""","$66.15","$89.46","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"ИБП UPS 1200VA CrownMicro CMU-SP1200IEC LCD USB","14","0","0","0","""CrownMicro""","$67.89","$89.02","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"ИБП UPS 1500VA CrownMicro CMU-SP1500IEC USB","3","0","0","0","""CrownMicro""","$79.03","$103.45","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"ИБП UPS 650VA APC BV650I-GR EASY UPS AVR","3","0","2","0","""DG Comp""","$54.86","$54.86","$0.00","0.0%","∞","9.3","NO","30d","4 weeks (1x)"
"ИБП UPS 650VA CrownMicro CMU-650XIEC","2","0","0","0","Unknown","$0.00","$21.32","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"ИБП UPS 650VA CrownMicro CMU-SP650EURO","18","0","0","0","""CrownMicro""","$37.50","$50.55","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-20CU-0150-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 15M, 4K","1","0","0","0","Unknown","$0.00","$31.42","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-20CU-0200-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 20M, 4K","1","0","0","0","""Impakt""","$28.51","$43.89","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-21CU-0018-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 1.8M, Flat, Black","25","0","0","0","Unknown","$0.00","$2.64","$0.00","0.0%","∞","15.9","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-21CU-0050-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 5M, Flat, Black","3","0","0","0","""Impakt""","$3.18","$4.90","$0.00","0.0%","∞","12.4","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-22CU-0018-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 1.8M, 4K SLIM BLACK","12","0","1","0","Unknown","$0.00","$5.07","$0.00","82.1%","∞","13.6","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-30CU-0005-BK HDMI-HDMI V2.1 8K 60Hz BLACK 0.5M","4","0","1","0","Unknown","$0.00","$5.45","$0.00","64.6%","∞","12.8","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-30CU-0010-BK HDMI-HDMI V2.1 8K 60Hz BLACK 1M","3","0","0","0","Unknown","$0.00","$6.06","$0.00","0.0%","∞","8.6","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-HDMI-30CU-0018-BK HDMI-HDMI V2.1 8K 60Hz BLACK 1.8M","24","0","1","0","Unknown","$0.00","$7.10","$0.00","0.0%","∞","8.6","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-MJMJ-10CC-0012-BK MINIJACK 3.5MM M/M 3 PIN BLACK, 1.2M","17","0","0","0","Unknown","$0.00","$0.48","$0.00","0.0%","∞","10.7","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-MJRC-10CC-0050-BK MINIJACK 3.5MM(M) 3 PIN->2X RCA (CHINCH)(M) 5M","42","0","0","0","Unknown","$0.00","$1.08","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-SASA-10CU-0050-R SATA III (6GB/S) 50CM","262","0","0","0","Unknown","$0.00","$0.60","$0.00","0.0%","∞","21.5","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-SASA-12CU-0050-R SATA III (6GB/S) 50CM","13","0","3","0","Unknown","$0.00","$0.60","$0.00","113.3%","∞","14.6","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-SASA-14CU-0050-R SATA III (6GB/S) 50CM METAL CLIPS","21","0","0","0","""Impakt""","$0.40","$0.62","$0.00","0.0%","∞","11.1","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-USBA-11CC-0018-BK USB 2.0 AM-BM FERRITE BLACK 1.8M","819","0","12","0","""Impakt""","$0.54","$0.83","$0.00","0.0%","∞","24","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-USBA-11CC-0050-BK USB 2.0 AM-BM FERRYT BLACK 5M","59","0","1","0","Unknown","$0.00","$1.51","$0.00","104.0%","∞","21.3","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-USBA-12CC-0018-TR USB 2.0 AM-BM FERRITE BLACK 1.8M","274","0","4","0","""Impakt""","$0.66","$1.02","$0.00","0.0%","∞","15.9","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-USBA-12CC-0050-TR USB 2.0 AM-BM FERRITE BLACK 5M","41","0","2","0","Unknown","$0.00","$1.40","$0.00","0.0%","∞","11.4","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-USBM-10CC-0010-W USB 2.0 MICRO AM-MBM5P WHITE 1M","34","0","0","0","Unknown","$0.00","$0.58","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-USBM-10CC-0018-BK USB 2.0 MICRO AM-MBM5P BLACK 1.8M","7","0","0","0","Unknown","$0.00","$0.91","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-USBO-10CC-0018-BK USB 2.0 TYPE-C(M)-AM BLACK 1.8M","1","0","0","0","Unknown","$0.00","$1.59","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель LANBERG CA-VGAC-10CC-0100-B VGA HD15M/HD15M DUAL-SHIELDED 2*FERRITE BLACK 10M","15","0","0","0","Unknown","$0.00","$6.14","$0.00","0.0%","∞","8.9","NO","30d","4 weeks (1x)"
"Кабель LANBERG LCF5-10CC-0305-S FTP SOLID GRAY CABLE, CCA, Cat.5, 100MHz, 305M","7","0","0","0","Unknown","$0.00","$48.46","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель LANBERG LCU5-10CC-0305-S UTP SOLID GRAY CABLE, CCA, CAT. 5E 305M","3","0","0","0","""Impakt""","$29.00","$42.51","$0.00","0.0%","∞","10","NO","30d","4 weeks (1x)"
"Кабель LANBERG OEM-0011 HDMI-HDMI V1.4 HIGH SPEED ETHERNET 4.5M BLAСK","21","0","0","0","Unknown","$0.00","$1.75","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Кабель LANBERG PCU5-10CC-0025-BK UTP PATCHCORD CAT5E 0.25M BLACK","51","0","0","0","Unknown","$0.00","$0.46","$0.00","0.0%","∞","24","NO","30d","4 weeks (1x)"
"Кабель LANBERG PCU5-10CC-0100-BK UTP PATCHCORD CAT5E 1.0M BLACK","3","0","0","0","Unknown","$0.00","$0.59","$0.00","0.0%","∞","14.5","NO","30d","4 weeks (1x)"
"Кабель LANBERG PCU5-10CC-0100-Y UTP PATCHCORD CAT.5E 1.0M YELLOW","27","0","31","4","Unknown","$0.00","$0.69","$0.84","30.4%","26.2","48.5","MEDIUM","30d","4 weeks (1x)"
"Кабель LANBERG PCU5-10CC-0200-BK UTP PATCHCORD CAT5E 2.0M BLACK","64","0","3","0","Unknown","$0.00","$0.79","$0.00","0.0%","∞","19.4","NO","30d","4 weeks (1x)"
"Кабель LANBERG PCU5-10CC-0300-G UTP PATCHCORD CAT.5E 3.0M GREEN","7","0","9","2","Unknown","$0.00","$1.06","$0.68","32.1%","23.3","47.1","MEDIUM","30d","4 weeks (1x)"
"Кабель LANBERG PCU5-10CC-0300-S UTP PATCHCORD CAT5E 3.0M SILVER","2","0","0","0","""Impakt""","$0.64","$0.98","$0.00","0.0%","∞","15.6","NO","30d","4 weeks (1x)"
"Кабель LANBERG PCU5-10CC-1000-BK UTP PATCHCORD CAT5E 10M BLACK","1","0","0","0","Unknown","$0.00","$2.04","$0.00","0.0%","∞","10.3","NO","30d","4 weeks (1x)"
"Кабель LANBERG PCU5-10CC-1000-G UTP PATCHCORD CAT5E 10M GREEN","31","0","3","0","""Impakt""","$1.15","$1.77","$0.00","102.8%","∞","19.1","NO","30d","4 weeks (1x)"
"Кабель LANBERG PCU5-10CC-2000-BK UTP PATCHCORD CAT5E 20M BLACK","3","0","0","0","Unknown","$0.00","$3.74","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кабель LANBERG PCU5-20CC-0050-BK UTP PATCHCORD CAT5E 0.5M BLACK","28","0","20","0","Unknown","$0.00","$0.41","$0.00","34.1%","∞","30","NO","30d","4 weeks (1x)"
"Кабель LANBERG PCU6-10CC-0050-BK UTP PATCHCORD CAT.6 0.5M Black","29","0","1","0","Unknown","$0.00","$0.72","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Кабель Lightwave LW CAT6 FTP 305m","23","0","7","0","""TLM INTERNATIONAL FZE"" DUBAI","$27.30","$39.20","$0.00","22.4%","∞","20.4","NO","30d","4 weeks (1x)"
"Кабель Lightwave LW CAT6 UTP 305m","50","0","1","0","""TLM INTERNATIONAL FZE"" DUBAI","$21.00","$32.53","$0.00","0.0%","∞","11.8","NO","30d","4 weeks (1x)"
"Кабель Orico CC240-40-15-BK-BP (USB 4.0 Type-C to Type-C, up to 240W, up to 40Gbps​, 1x8K@60Hz or 2x4K@60Hz, 1.5m)","18","0","2","0","""Orico""","$7.21","$9.72","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кабель Ugreen 10129 HDMI-HDMI V1.4 (4K60Hz, 2m, Black/Yellow)","9","0","0","0","Unknown","$0.00","$3.11","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель Ugreen 10309 (USB 2.0(M) to USB 2.0(M), 1m, Black)","5","0","0","0","Unknown","$0.00","$1.71","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель Ugreen 10355 (USB 2.0 A(M) to Mini USB(M), 1m, Black)","7","0","1","0","""X-ART""","$1.48","$1.48","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кабель Ugreen 15384 DP-DP V2.0 (16K@30Hz, 8K@240Hz, 2m, Black)","8","0","0","0","""X-ART""","$11.50","$11.50","$0.00","0.0%","∞","7.2","NO","30d","4 weeks (1x)"
"Кабель Ugreen 20816 3.5mm Male to 2 Female Audio Cable 20cm","2","0","0","0","Unknown","$0.00","$2.91","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель Ugreen 20856 (USB-C(M) to USB 3.0(M), 1m, Space Grey)","1","0","0","0","""X-ART""","$3.16","$3.16","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Кабель Ugreen 50570 (USB-C (M) to HDMI (M), Thunderbolt, 1.5m, Grey/Black)","3","0","1","0","""X-ART""","$17.05","$17.05","$0.00","0.0%","∞","8.3","NO","30d","4 weeks (1x)"
"Кабель Ugreen 60137 (USB-A(M) to Micro USB(M), 1.5m, 18W, Black)","9","0","0","0","""X-ART""","$2.47","$2.47","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель Ugreen 60138 (USB-A(M) to Micro USB(M), 2m, 18W, Black)","2","0","1","0","Unknown","$0.00","$3.04","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель Ugreen 80394 DP-DP V1.4 (FHD240Hz, 2K165Hz, 4K144Hz, 8K60Hz, 5m, Black)","4","0","0","0","""X-ART""","$9.74","$9.60","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабель питания Gembird PC-184/2-1.8m (Radio, Schuko, 1.8m, Black)","6","0","0","0","""DG Comp""","$1.50","$1.50","$0.00","0.0%","∞","18.8","NO","30d","4 weeks (1x)"
"Кабель питания для ноутбука (Power Cord for Laptop, Schuko-C5, 1.8m, Black)","33","0","5","0","""DG Comp""","$2.00","$2.01","$0.00","0.0%","∞","14.2","NO","30d","4 weeks (1x)"
"Кабельный ввод LANBERG AK-1203-B 19"" CABLE MANAGEMENT BRUSH PANEL 5 RINGS TYPE B 1U BLACK","15","0","0","0","Unknown","$0.00","$5.41","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Кабельный органайзер Ugreen 50320 (Black)","6","0","0","0","Unknown","$0.00","$1.90","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Карта памяти Micro SD Card PATRIOT 128GB PSF128GMDC10 LX Series UHS-I (Class 10)","7","0","14","7","""Patriot""","$6.00","$7.81","$0.00","0.0%","14.9","55","HIGH","30d","4 weeks (1x)"
"Карта памяти Micro SD Card PATRIOT 256GB PEF256GEP31MCX EP SDXC V30 (Class 10)","3","0","0","0","""Patriot""","$11.50","$14.78","$0.00","0.0%","∞","6.8","NO","30d","4 weeks (1x)"
"Карта памяти Micro SD Card PATRIOT 32GB PSF32GMCSDHC10 (Class 10)","2","0","0","0","Unknown","$0.00","$2.69","$0.00","0.0%","∞","7.5","NO","30d","4 weeks (1x)"
"Карта памяти Micro SD Card PATRIOT 32GB PSF32GMDC10 LX Series UHS-I (Class 10)","9","0","5","0","""Patriot""","$2.30","$3.01","$0.00","70.4%","∞","30","NO","30d","4 weeks (1x)"
"Карта памяти Micro SD Card PATRIOT 512GB PEF512GEP31MCX EP SDXC V30 (Class 10)","64","0","0","0","""Patriot""","$26.00","$33.59","$0.00","0.0%","∞","7.9","NO","30d","4 weeks (1x)"
"Карта памяти Micro SD Card PATRIOT 64GB PSF64GMDC10 LX Series UHS-I (Class 10)","32","0","3","0","""Patriot""","$3.00","$3.58","$0.00","0.0%","∞","24","NO","30d","4 weeks (1x)"
"Карта памяти Micro SD Samsung EVO Plus 128GB MB-MC128SA/EU (UHS-I U3, Class 10)","5","0","5","0","""Kosatec""","$10.48","$14.00","$9.85","70.4%","29.4","32.8","MEDIUM","30d","4 weeks (1x)"
