NAME,QTY
"Жесткий диск Внешний корпус для HDD AgeStar SUBCP1 (SATA-3, 2.5"", Black, USB 2.0)",2
"Жесткий диск Внешний корпус для HDD Ugreen 70609 (SATA-3, 2.5"", Black, USB 3.0)",2
"Жесткий диск внешний корпус для SSD Patriot VXD PV860UPRGM (M.2 NVMe, PCIe3.0, Alluminium, RGB, Silver, USB-C)",1
"Зарядное устройство CrownMicro CMWC-3001 (1xMicro USB, 1xUSB, 1.2A, 100-240V, Black)",3
"Зарядное устройство CrownMicro CMWC-3002 (2xUSB, 1-2.4A, 100-240V, White)",1
"Зарядное устройство для ноутбука CrownMicro CMLC-5006 (Universal, 65W, USB QC 3.0)",1
"Зарядное устройство для ноутбука Natec GRAYLING (Universal, 90w, USB-C)",1
"Звуковая карта Ugreen 30143 (2x3.5mm, USB 2.0, 15cm, White)",2
"Звуковая карта Ugreen 80864 (1x3.5mm, USB 2.0)",3
ИБП UPS 1050VA Lightwave LW UPS 1050,2
ИБП UPS 1200VA CrownMicro CMU-SP1200 COMBO,2
ИБП UPS 1200VA CrownMicro CMU-SP1200IEC USB,1
ИБП UPS 1500VA CrownMicro CMU-SP1500IEC USB,1
ИБП UPS 600VAPowercom King Pro RM KIN-600AP,1
ИБП UPS 650VA APC BV650I-GR EASY UPS AVR,3
ИБП UPS 650VA CrownMicro CMU-SP650 COMBO USB,2
ИБП UPS 650VA CrownMicro CMU-SP650EURO,1
ИБП UPS 650VA CrownMicro CMU-SP650EURO USB,2
ИБП UPS 750VA Lightwave LW UPS 750,1
ИБП UPS 800VA CrownMicro CMU-SP800COMBO,1
ИБП UPS 800VA CrownMicro CMU-SP800EURO USB,1
ИБП UPS 800VA CrownMicro CMU-SP800IEC LCD USB,7
ИБП UPS 850VA CrownMicro CMUS-275 EURO SMART,1
ИБП UPS 850VA Lightwave LW UPS 850,2
Инструмент GEMBIRD T-WC-04,1
Инструмент Insertion Tool LANBERG NT-0001 FOR LSA CONNECTION,2
Инструмент Stripping Tool LANBERG NT-0101 UNIVERSAL STRIPPING TOOL FOR UTP STP TELEFON AND DATA CABLE,2
"Инструмент набор отверток Ugreen 80459 (38-in-1, Aluminum Alloy Handle, Magnetic Extension Bar, Screw Bits Dimension)",5
"Источник питания Buro BP20A (20000mAh, 10W, 2A, 1xUSB-A/1xUSB-C/1xMicro USB, Black)",2
"Источник питания Buro T4-10000 (10000mAh, 10W, 2A, 2xUSB-A, Black)",2
"Источник питания CrownMicro CMPB-6200 (2600mAh, 1A, Blue&Yellow)",7
"Источник питания CrownMicro CMPB-6200 (2600mAh, 1A, Red&Yellow)",2
"Источник питания Hiper EP 10000 (10000mAh, 22.5W, 5A, 2xUSB-A/1xUSB-C, Black)",1
"Источник питания Hiper SM20000 (20000mAh, 12W, 2.4A, 2xUSB-A/1xUSB-C, Black)",2
Источник питания Lightwave LW-PB-20K-B01 (20000mAh),1
"Источник питания Noname 8000135 (5500mAh, Hand Warmer)",1
"Источник питания Noname 8000142 (5500mAh, Hand Warmer)",1
"Кабель CrownMicro CMPS-01 Power Cord Adapter (IEC to EURO, 16A, 15cm, black)",4
Кабель D-Link DKVM-CU5/B1A (5m),2
"Кабель Genesis NKA-1993 HDMI-HDMI V2.1 8K (PS5/PS4, 3.0M)",1
Кабель LANBERG CA-C13C-11CC-0018-BK POWER CORD CEE 7/7->IEC 320 C13 1.8M VDE BLACK,8
Кабель LANBERG CA-C13C-11CC-0030-BK POWER CORD CEE 7/7 / IEC 320 C13 3M VDE BLACK,5
Кабель LANBERG CA-C13C-11CC-0050-BK POWER CORD CEE 7/7 / IEC 320 C13 5M VDE BLACK,4
Кабель LANBERG CA-C13C-11CC-0100-BK POWER SUPPLY CEE 7/7->IEC 320 C13 10M VDE BLACK,4
Кабель LANBERG CA-C13C-12CC-0018-BK POWER CORD CEE 7/7->IEC 320 C13 1.8M ANGLED RIGHT VDE BLACK,5
Кабель LANBERG CA-C5CA-15CC-0018-BK POWER CORD LAPTOP (MIKI) IEC 320 C5 1.8M VDE BLACK,5
Кабель LANBERG CA-C7CA-10CC-0018-BK POWER SUPPLY EURO (RADIO) CEE 7/16->IEC 320 C7 1.8M BLACK,3
Кабель LANBERG CA-CMHD-10CU-0030-BK USB-C(M)->HDMI(M) CABLE 3M 4K 60HZ BLACK,1
Кабель LANBERG CA-DPDP-10CC-0030-BK DISPLAYPORT M/M 3M 4K BLACK,1
Кабель LANBERG CA-DPDP-20CU-0018-BK DISPLAYPORT M/M 1.8M 8K 60HZ BLACK,2
Кабель LANBERG CA-DPHD-11CC-0030-BK DISPLAYPORT(M)->HDMI 3M BLACK,1
Кабель LANBERG CA-DVID-10CC-0018-BK DVI-D(M)(24+1)->DVI-D(M)(24+1) DUAL LINK 1.8M BLACK,6
Кабель LANBERG CA-DVID-10CC-0030-BK DVI-D(M)(24+1)->DVI-D(M)(24+1) DUAL LINK 3M BLACK,20
"Кабель LANBERG CA-HDDV-10CC-0005-BK HDMI(M)-DVI-D(M) (18+1) 0.5M, SINGLE LINK, BLACK",8
"Кабель LANBERG CA-HDDV-20CU-0018-BK HDMI(M)-DVI-D(M) (24+1) 1.8M, DUAL LINK, 4K, Gold Plated, BLACK",7
Кабель LANBERG CA-HDMI-10CC-0150-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 15M,1
Кабель LANBERG CA-HDMI-10CC-0200-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 20M,3
Кабель LANBERG CA-HDMI-11CC-0005-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 50CM,4
Кабель LANBERG CA-HDMI-11CC-0018-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 1.8M,12
Кабель LANBERG CA-HDMI-11CC-0030-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 3.0M,1
Кабель LANBERG CA-HDMI-11CC-0050-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 5M,1
Кабель LANBERG CA-HDMI-13CC-0030-BK HDMI-HDMI V1.4 HIGH SPEED ETHERNET 3.0M BLAСK,2
Кабель LANBERG CA-HDMI-20CU-0018-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 1.8M,1
"Кабель LANBERG CA-HDMI-20CU-0018-BL HDMI-HDMI V2.0 HIGH SPEED ETHERNET 1.8M, CU, Premium, Black",4
"Кабель LANBERG CA-HDMI-20CU-0075-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 7.5M, 4K",1
"Кабель LANBERG CA-HDMI-21CU-0018-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 1.8M, Flat, Black",13
"Кабель LANBERG CA-HDMI-21CU-0050-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 5M, Flat, Black",1
"Кабель LANBERG CA-HDMI-22CU-0018-BK HDMI-HDMI V2.0 HIGH SPEED ETHERNET 1.8M, 4K SLIM BLACK",3
Кабель LANBERG CA-HDMI-30CU-0005-BK HDMI-HDMI V2.1 8K 60Hz BLACK 0.5M,2
Кабель LANBERG CA-HDMI-30CU-0018-BK HDMI-HDMI V2.1 8K 60Hz BLACK 1.8M,6
Кабель LANBERG CA-MJFJ-10CC-0050-BK STEREO MINIJACK(M)->MINIJACK(F) 5M,5
"Кабель LANBERG CA-MJMJ-10CC-0012-BK MINIJACK 3.5MM M/M 3 PIN BLACK, 1.2M",5
Кабель LANBERG CA-MJRC-10CC-0015-BK MINIJACK 3.5MM(M) 3 PIN->2X RCA (CHINCH)(M) 1.5M,5
Кабель LANBERG CA-MJRC-10CC-0050-BK MINIJACK 3.5MM(M) 3 PIN->2X RCA (CHINCH)(M) 5M,6
Кабель LANBERG CA-SASA-10CU-0050-R SATA III (6GB/S) 50CM,9
Кабель LANBERG CA-SASA-12CU-0050-R SATA III (6GB/S) 50CM,5
Кабель LANBERG CA-SASA-14CU-0050-R SATA III (6GB/S) 50CM METAL CLIPS,1
Кабель LANBERG CA-US3M-10CC-0030-B USB 3.0 A-PLUG MICRO 5PM BLUE 3.0M,4
Кабель LANBERG CA-USBA-11CC-0018-BK USB 2.0 AM-BM FERRITE BLACK 1.8M,17
Кабель LANBERG CA-USBA-11CC-0050-BK USB 2.0 AM-BM FERRYT BLACK 5M,13
Кабель LANBERG CA-USBA-12CC-0018-TR USB 2.0 AM-BM FERRITE BLACK 1.8M,29
Кабель LANBERG CA-USBA-12CC-0050-TR USB 2.0 AM-BM FERRITE BLACK 5M,7
Кабель LANBERG CA-USBM-10CC-0010-W USB 2.0 MICRO AM-MBM5P WHITE 1M,11
Кабель LANBERG CA-USBM-10CC-0018-BK USB 2.0 MICRO AM-MBM5P BLACK 1.8M,3
Кабель LANBERG CA-USBM-10CC-0018-W USB 2.0 MICRO AM-MBM5P WHITE 1.8M,17
Кабель LANBERG CA-VGAC-10CC-0050-B VGA HD15M/HD15M DUAL-SHIELDED 2*FERRITE BLACK 5M,2
Кабель LANBERG CA-VGAC-10CC-0100-B VGA HD15M/HD15M DUAL-SHIELDED 2*FERRITE BLACK 10M,4
"Кабель LANBERG LCF5-10CC-0305-S FTP SOLID GRAY CABLE, CCA, Cat.5, 100MHz",78
"Кабель LANBERG LCU5-10CC-0305-S UTP SOLID GRAY CABLE, CCA, CAT. 5E 305M",2
"Кабель LANBERG LCU5-10CU-0305-S UTP SOLID GRAY CABLE, CU, CAT. 5E",60
"Кабель LANBERG LCU6-10CU-0305-S UTP SOLID GRAY CABLE, CU, CAT. 6",170
Кабель LANBERG OEM-0011 HDMI-HDMI V1.4 HIGH SPEED ETHERNET 4.5M BLAСK,14
Кабель LANBERG PCU5-10CC-0025-BK UTP PATCHCORD CAT5E 0.25M BLACK,17
Кабель LANBERG PCU5-10CC-0100-BK UTP PATCHCORD CAT5E 1.0M BLACK,3
Кабель LANBERG PCU5-10CC-0100-Y UTP PATCHCORD CAT.5E 1.0M YELLOW,4
Кабель LANBERG PCU5-10CC-0200-BK UTP PATCHCORD CAT5E 2.0M BLACK,9
Кабель LANBERG PCU5-10CC-0300-G UTP PATCHCORD CAT.5E 3.0M GREEN,9
Кабель LANBERG PCU5-10CC-0300-S UTP PATCHCORD CAT5E 3.0M SILVER,5
Кабель LANBERG PCU5-10CC-1000-G UTP PATCHCORD CAT5E 10M GREEN,6
