Supplier,Source,Brand,Category,Model,Product Name,Price,Currency,Stock,MOQ,Warranty,Notes,Date Added
Proks SIA,Price List,,General,STJL2000400,Seagate Basic 2TB; 2.5; USB 3.0; Black,92.0,USD,50,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,STKM2000400,Seagate Expansion 2TB; 2.5; USB 3.0; Black,87.4,USD,50,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,STKM5000400,Seagate Expansion 5TB; 2.5; USB 3.0; Black,149.7,USD,47,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,HDTB510EK3AA,Toshiba Canvio Basics 2.5'' 1TB. Black,67.2,USD,50,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,HDTB520EK3AA,Toshiba Canvio Basics 2.5'' 2TB. Black,85.0,USD,50,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,HDTB540EK3CA,Toshiba Canvio Basics 2.5'' 4TB. Black,122.8,USD,59,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WDBU6Y0020BBK-WESN,WD Elements 2TB USB 3.2; Black,85.6,USD,10,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WDBYVG0010BBK-WESN,WD My Passport 1TB USB 3.0; Black,77.3,USD,20,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,PN,Special offer,0.0,USD,0,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-77E2T0B/EU,Samsung SSD 870 EVO 2.5'' 2TB 560/530 MB/s,351.8,USD,50,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MZ-V9S1T0BW,Samsung SSD 990 EVO Plus 1TB PCIe 4.0 (NVMe),208.9,USD,120,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SNV3S/1000G,Kingston NV3 1TB PCIe 4.0 (NVMe) R6000/W2200 MB/s SSD,142.8,USD,240,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CT240BX500SSD1,"Crucial SSD BX500 240GB, SATA3, 2.5' 540r/500w MB/s",53.1,USD,240,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,CT1000P510SSD8,Crucial SSD P510 1TB PCIe Gen5 NVMe M.2 SSD w/o HS,151.1,USD,200,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SXS1000/1000G,Kingston 1TB XS1000 external SSD; 1050 MB/s; USB-C,116.9,USD,169,NO,,Price DAP EU,02/03/2026
