Supplier,Category,Brand,Model,Name,Price,Currency,Stock,MOQ,Notes
PHONIX,Laptops,LENOVO,203LET14G3i5G12DREF,LENOVO THINKPAD T14 GEN 3 INTEL CORE I5-1245U 256GB SSD 16GB DDR4 14 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 PRO COLOR STORM GREY. 3RD PARTY REFURBISHED THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES,419.15,USD,26,1,MOQ 1 | ETA 8 | Conditions 3RD PARTY REFURBISHED
PHONIX,Laptops,LENOVO,203LET14G2i5G11DREF,LENOVO THINKPAD T14 GEN 2 INTEL CORE I5-1145G7 256GB SSD 16GB DDR4 14 FHD (1920X1080) TOUCHSCREEN WINDOWS 11 PRO COLOR STORM GREY . 3RD PARTY REFURBISHED THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES,314.11,USD,71,1,MOQ 1 | ETA 8 | Conditions 3RD PARTY REFURBISHED
PHONIX,Laptops,LENOVO,726449631666-R,LENOVO THINKPAD T14 GEN 3 INTEL CORE I5-1245U 256GB SSD 16GB DDR4 14 FHD (1920X1080) WINDOWS 11 PRO COLOR BLACK. OFF LEASE REFURBISHED THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES,464.6,USD,36,1,MOQ 1 | ETA 15 | Conditions REFURBISHED
PHONIX,Laptops,LENOVO,21MN00AHUS,LENOVO THINKPAD T16 G3 INTEL CORE ULTRA 7-155U 165U UP TO 4.8GHZ 512GB SSD 16GB DDR5 INTEL GRAPHICS 16 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 PRO COLOR BLACK,1225.99,USD,40,20,MOQ 20 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,83KR000JUS,LENOVO IDEAPAD 5I 14IAL10 2 IN 1 INTEL CORE ULTRA 5 225U UP TO 4.8GHZ 512GB SSD 8GB DDR5 INTEL GRAPHICS 14 WUXGA (1920X1080) TOUCHSCREEN WINDOWS 11 COLOR COSMIC BLUE,481.77,USD,1,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,83KR0047US,LENOVO IDEAPAD 5I 2 EN 1 INTEL CORE ULTRA 5 225U 512GB SSD 8GB DDR5 14 WUXGA (1920X1200) TOUCHSCREEN WINDOWS 11 COLOR LUNA GREY,419.0,USD,50,1,MOQ 1 | ETA 7 | Conditions NEW
PHONIX,Laptops,LENOVO,21T9006CIG,LENOVO THINKPAD E14 GEN 7 INTEL CORE ULTRA 5 210H 512GB SSD 16GB DDR5 INTEL GRAPHICS 14 WUXGA (1920x1200) FREEDOS COLOR BLACK EU SPECS,687.0,USD,985,0,MOQ 0 | ETA 5 | Conditions NEW
PHONIX,Laptops,LENOVO,21LU003SUS-R,LENOVO THINKPAD X13 GEN 5 INTEL CORE ULTRA 5 125U UP TO 4.3GHZ 512GB SSD 16GB DDR5 13.3 WUXGA (1920X1200) IPS WINDOWS 11 PRO COLOR BLACK. 3RD PARTY REFURBISHED THIS PRODUCT MAY SHOW SLIGHT SIGNS OF USE VARIATIONS IN PACKAGING AND ACCESSORIES.,579.74,USD,3,1,MOQ 1 | ETA 8 | Conditions 3RD PARTY REFURBISHED
PHONIX,Laptops,LENOVO,21MN005MUS,LENOVO THINKPAD T16 GEN 3 INTEL CORE ULTRA 5 125U UP TO 4.3GHZ 512GB SSD 16GB DDR5 INTEGRATED INTEL GRAPHICS 16 WUXGA (1920X1200) IPS TOUCHSCREEN WINDOWS 11 PRO COLOR BLACK,914.05,USD,45,1,MOQ 1 | ETA 8 | Conditions NEW
PHONIX,Laptops,LENOVO,21SBS2CA00,LENOVO THINKPAD L16 GEN 2 INTEL CORE ULTRA 5 225U 512GB SSD 8GB DDR5 INTEGRATED INTEL GRAPHICS 16 WUXGA (1920X1200) TOUCHSCREEN FREEDOS COLOR BLACK,737.0,USD,985,0,MOQ 0 | ETA 5 | Conditions NEW
